Q_HC,T_op,T_ext,Q_H,Q_C
0.0,19.876683473161364,9.2,0.0,0.0
0.0,19.77507553051573,9.4,0.0,0.0
0.0,19.66948029097847,9.8,0.0,0.0
0.0,19.564118695420802,10.0,0.0,0.0
0.0,19.46088839371636,10.1,0.0,0.0
2506.0012238725394,20.0,9.9,2506.0012238725394,0.0
2447.4018865828166,20.0,9.6,2447.4018865828166,0.0
2619.3858182462627,20.000000000000004,9.3,2619.3858182462627,0.0
2690.5598065227346,20.000000000000004,10.0,2690.5598065227346,0.0
2893.2011299939713,19.999999999999993,10.4,2893.2011299939713,0.0
2677.8693046976405,20.0,12.0,2677.8693046976405,0.0
2509.863646833017,20.0,13.0,2509.863646833017,0.0
2012.7706076211723,20.0,16.2,2012.7706076211723,0.0
2014.9340693866748,20.0,15.0,2014.9340693866748,0.0
1922.4753767184957,20.000000000000007,15.0,1922.4753767184957,0.0
1564.8545828072024,19.999999999999996,17.6,1564.8545828072024,0.0
1820.3509481866352,20.000000000000004,15.0,1820.3509481866352,0.0
1876.5435632550746,19.999999999999996,15.0,1876.5435632550746,0.0
1742.1648876484605,20.0,16.0,1742.1648876484605,0.0
1965.067860525918,20.0,14.0,1965.067860525918,0.0
1897.817354448982,19.999999999999996,15.0,1897.817354448982,0.0
1844.9628369641239,20.0,15.8,1844.9628369641239,0.0
2224.6216994305964,20.0,13.0,2224.6216994305964,0.0
0.0,19.33183854493074,12.0,0.0,0.0
0.0,19.157245832119575,14.8,0.0,0.0
0.0,19.041610219096327,13.0,0.0,0.0
0.0,18.9699589026026,13.0,0.0,0.0
0.0,18.91186051653618,13.2,0.0,0.0
0.0,18.831906408955703,12.0,0.0,0.0
3938.9682910657457,20.0,12.0,3938.9682910657457,0.0
3227.867602582889,20.0,12.6,3227.867602582889,0.0
3457.019199379652,20.0,11.0,3457.019199379652,0.0
3531.2185212449726,20.000000000000004,11.0,3531.2185212449726,0.0
3571.1924607444066,20.0,12.2,3571.1924607444066,0.0
3759.641653341786,20.0,11.0,3759.641653341786,0.0
3768.125656549093,20.0,11.0,3768.125656549093,0.0
3577.164764399564,20.000000000000004,12.6,3577.164764399564,0.0
3728.568137052334,20.0,11.0,3728.568137052334,0.0
3709.641120721934,19.999999999999996,11.0,3709.641120721934,0.0
3464.185970954369,20.0,13.0,3464.185970954369,0.0
3384.2305936119533,20.0,13.0,3384.2305936119533,0.0
3401.420875570804,20.000000000000004,13.0,3401.420875570804,0.0
3339.256946865028,19.999999999999996,13.6,3339.256946865028,0.0
3622.436048526649,20.0,11.0,3622.436048526649,0.0
3680.682276117778,20.0,11.0,3680.682276117778,0.0
3771.7129701804943,20.0,10.8,3771.7129701804943,0.0
4056.3045983520633,20.0,9.0,4056.3045983520633,0.0
0.0,18.780865424449168,9.0,0.0,0.0
0.0,18.410931432922375,9.8,0.0,0.0
0.0,18.21946473950516,8.0,0.0,0.0
0.0,18.10026543175852,8.0,0.0,0.0
0.0,18.03007912404383,9.6,0.0,0.0
0.0,17.901432357232984,7.0,0.0,0.0
6922.305611875699,20.0,7.0,6922.305611875699,0.0
5430.118811388734,20.0,8.8,5430.118811388734,0.0
5682.986169161261,20.0,7.0,5682.986169161261,0.0
5754.0150659878855,20.0,7.0,5754.0150659878855,0.0
5735.541718402385,20.0,8.6,5735.541718402385,0.0
5868.060962443696,19.999999999999996,7.0,5868.060962443696,0.0
5290.4635023327555,20.0,11.0,5290.4635023327555,0.0
