Q_HC,T_op,T_ext,Q_H,Q_C
14341.016353798153,20.0,0.54,14341.016353798153,0.0
12732.943401101535,20.0,0.68,12732.943401101535,0.0
12648.910433123418,20.0,0.82,12648.910433123418,0.0
12571.546416863426,20.0,0.95,12571.546416863426,0.0
12486.846852022758,20.000000000000004,1.09,12486.846852022758,0.0
12402.813884044635,20.0,1.23,12402.813884044635,0.0
11621.287146999413,20.0,1.37,11621.287146999413,0.0
11474.014936822237,20.0,1.51,11474.014936822237,0.0
10995.677600663368,20.0,1.65,10995.677600663368,0.0
9439.957832251986,20.0,1.77,9439.957832251986,0.0
9495.187207932284,19.999999999999993,2.34,9495.187207932284,0.0
9457.258191841163,19.999999999999993,2.61,9457.258191841163,0.0
9152.515028006042,20.0,2.67,9152.515028006042,0.0
9394.401507488768,20.0,2.47,9394.401507488768,0.0
9768.064517415474,20.0,2.36,9768.064517415474,0.0
9551.255617202536,20.000000000000004,1.83,9551.255617202536,0.0
11630.420345297613,20.0,1.68,11630.420345297613,0.0
11432.501655686438,20.0,1.61,11432.501655686438,0.0
11463.17004681399,20.000000000000004,1.56,11463.17004681399,0.0
11896.419020878478,20.0,1.48,11896.419020878478,0.0
11926.592949284479,19.999999999999996,1.44,11926.592949284479,0.0
12008.276832850646,20.0,1.31,12008.276832850646,0.0
12403.414511432804,20.0,1.21,12403.414511432804,0.0
12390.787203960492,20.0,1.22,12390.787203960492,0.0
12420.271433589922,20.000000000000004,1.22,12420.271433589922,0.0
12444.824401848462,20.000000000000004,1.18,12444.824401848462,0.0
12435.489062680124,20.0,1.19,12435.489062680124,0.0
12609.548404214085,19.999999999999996,0.93,12609.548404214085,0.0
12718.926968432243,19.999999999999993,0.74,12718.926968432243,0.0
12859.647517560797,20.0,0.51,12859.647517560797,0.0
12338.078914556876,20.000000000000004,0.14,12338.078914556876,0.0
12679.103648938664,20.000000000000004,-0.56,12679.103648938664,0.0
12866.12705752321,20.0,-1.38,12866.12705752321,0.0
10126.306784780118,20.0,1.21,10126.306784780118,0.0
8530.95101191638,20.0,2.66,8530.95101191638,0.0
8172.746453562806,20.0,4.32,8172.746453562806,0.0
4857.364313240235,19.999999999999996,5.16,4857.364313240235,0.0
4873.35864720615,20.000000000000007,5.9,4873.35864720615,0.0
5209.743217348976,20.0,6.34,5209.743217348976,0.0
6641.08402060068,20.0,5.82,6641.08402060068,0.0
10303.305713879925,20.0,4.47,10303.305713879925,0.0
10735.5576493148,20.0,3.03,10735.5576493148,0.0
11557.826801296267,19.999999999999996,1.56,11557.826801296267,0.0
12830.760484444396,19.999999999999996,0.04,12830.760484444396,0.0
13511.119939018567,20.0,-1.15,13511.119939018567,0.0
14106.597080505904,20.000000000000004,-2.19,14106.597080505904,0.0
14717.645165866006,19.999999999999996,-2.61,14717.645165866006,0.0
14990.458537826085,20.0,-3.06,14990.458537826085,0.0
14975.941408341892,20.0,-3.04,14975.941408341892,0.0
