Q_HC,T_op,T_ext,Q_H,Q_C
8565.704165896463,19.999999999999996,9.2,8565.704165896463,0.0
7494.890385860477,20.0,9.4,7494.890385860477,0.0
7241.464254386249,20.000000000000004,9.8,7241.464254386249,0.0
7134.749094525676,20.0,10.0,7134.749094525676,0.0
7081.391514595391,20.000000000000007,10.1,7081.391514595391,0.0
7221.436517583525,20.0,9.9,7221.436517583525,0.0
7081.99501392788,20.0,9.6,7081.99501392788,0.0
7178.974790847966,20.000000000000004,9.3,7178.974790847966,0.0
6727.978075075155,20.0,10.0,6727.978075075155,0.0
6106.107231977563,20.0,10.4,6106.107231977563,0.0
2071.6618054160554,20.000000000000004,12.0,2071.6618054160554,0.0
944.7834580759243,20.0,13.0,944.7834580759243,0.0
0.0,21.333125666249902,16.2,0.0,0.0
0.0,21.413803256123167,15.0,0.0,0.0
0.0,21.40871413708301,15.0,0.0,0.0
0.0,22.20795085297438,17.6,0.0,0.0
1517.9233927860635,20.0,15.0,1517.9233927860635,0.0
5682.062474351061,20.000000000000007,15.0,5682.062474351061,0.0
2457.1501962082625,20.0,16.0,2457.1501962082625,0.0
4824.027154140418,20.0,14.0,4824.027154140418,0.0
3962.7901059530186,20.000000000000004,15.0,3962.7901059530186,0.0
3510.371201338197,20.000000000000007,15.8,3510.371201338197,0.0
5506.619289592837,19.999999999999993,13.0,5506.619289592837,0.0
5987.574952762939,20.0,12.0,5987.574952762939,0.0
4082.4264181979224,20.0,14.8,4082.4264181979224,0.0
5467.362010361936,19.999999999999996,13.0,5467.362010361936,0.0
5347.374575102701,19.999999999999993,13.0,5347.374575102701,0.0
5213.99554074008,19.999999999999996,13.2,5213.99554074008,0.0
6027.601684166864,20.000000000000004,12.0,6027.601684166864,0.0
5947.610060660707,20.000000000000004,12.0,5947.610060660707,0.0
5356.646838816929,20.0,12.6,5356.646838816929,0.0
6321.931523740206,19.999999999999993,11.0,6321.931523740206,0.0
6219.521702959973,20.0,11.0,6219.521702959973,0.0
5292.272510134254,19.999999999999996,12.2,5292.272510134254,0.0
5491.2800866909,20.0,11.0,5491.2800866909,0.0
4631.64271966555,20.0,11.0,4631.64271966555,0.0
3177.912676169309,20.0,12.6,3177.912676169309,0.0
3489.784739994202,19.999999999999996,11.0,3489.784739994202,0.0
2956.8249966874682,20.000000000000007,11.0,2956.8249966874682,0.0
1737.3322081971182,20.000000000000004,13.0,1737.3322081971182,0.0
1780.3790682026793,19.999999999999993,13.0,1780.3790682026793,0.0
3528.1051653216214,20.000000000000004,13.0,3528.1051653216214,0.0
4208.74307845631,20.0,13.6,4208.74307845631,0.0
6614.768837884547,20.000000000000007,11.0,6614.768837884547,0.0
6358.204001537387,20.000000000000007,11.0,6358.204001537387,0.0
6487.973649254873,20.0,10.8,6487.973649254873,0.0
7840.901545569713,19.999999999999996,9.0,7840.901545569713,0.0
7721.62172318181,19.999999999999996,9.0,7721.62172318181,0.0
7216.923218498183,20.000000000000004,9.8,7216.923218498183,0.0
8468.539438151933,20.000000000000004,8.0,8468.539438151933,0.0
8348.552002892697,20.0,8.0,8348.552002892697,0.0
7281.519727991691,19.999999999999993,9.6,7281.519727991691,0.0
9122.102672714036,20.0,7.0,9122.102672714036,0.0
8948.787488450696,20.0,7.0,8948.787488450696,0.0
7386.10419478713,20.0,8.8,7386.10419478713,0.0
8555.736070966348,20.000000000000007,7.0,8555.736070966348,0.0
8439.994312935074,20.0,7.0,8439.994312935074,0.0
7012.603338818865,20.0,8.6,7012.603338818865,0.0
5225.302330870552,19.999999999999993,7.0,5225.302330870552,0.0
1965.150491629887,20.0,11.0,1965.150491629887,0.0
209.21937743308402,20.0,13.4,209.21937743308402,0.0
0.0,20.117681907047437,13.0,0.0,0.0
77.8008454308963,20.0,13.0,77.8008454308963,0.0
0.0,20.089988360364607,14.6,0.0,0.0
3379.998367972059,20.000000000000007,13.0,3379.998367972059,0.0
8816.78847829781,20.0,12.0,8816.78847829781,0.0
4435.037648467437,20.000000000000004,12.6,4435.037648467437,0.0
