Q_HC,T_op,T_ext,Q_H,Q_C
14341.01635379816,19.999999999999996,0.54,14341.01635379816,0.0
12732.943401101547,20.0,0.68,12732.943401101547,0.0
12648.910433123423,19.999999999999993,0.82,12648.910433123423,0.0
12571.546416863443,20.000000000000004,0.95,12571.546416863443,0.0
12486.846852022763,20.0,1.09,12486.846852022763,0.0
12402.813884044648,20.0,1.23,12402.813884044648,0.0
11621.287146999412,20.0,1.37,11621.287146999412,0.0
11474.014936822241,20.000000000000007,1.51,11474.014936822241,0.0
10995.677600663372,20.0,1.65,10995.677600663372,0.0
9439.957832251976,19.999999999999993,1.77,9439.957832251976,0.0
9495.187207932282,20.0,2.34,9495.187207932282,0.0
9457.258191841152,20.0,2.61,9457.258191841152,0.0
9152.515028006035,19.999999999999993,2.67,9152.515028006035,0.0
9394.401507488772,20.0,2.47,9394.401507488772,0.0
9768.064517415474,20.000000000000004,2.36,9768.064517415474,0.0
9551.25561720253,20.000000000000004,1.83,9551.25561720253,0.0
11630.420345297614,19.999999999999993,1.68,11630.420345297614,0.0
11432.501655686443,19.999999999999996,1.61,11432.501655686443,0.0
11463.17004681399,20.0,1.56,11463.17004681399,0.0
11896.419020878477,20.000000000000004,1.48,11896.419020878477,0.0
11926.592949284475,19.999999999999993,1.44,11926.592949284475,0.0
12008.27683285064,19.999999999999993,1.31,12008.27683285064,0.0
12403.414511432822,20.000000000000007,1.21,12403.414511432822,0.0
12390.787203960499,20.0,1.22,12390.787203960499,0.0
12420.271433589924,19.999999999999996,1.22,12420.271433589924,0.0
12444.824401848473,20.0,1.18,12444.824401848473,0.0
12435.489062680135,20.000000000000007,1.19,12435.489062680135,0.0
12609.548404214092,19.999999999999996,0.93,12609.548404214092,0.0
12718.926968432259,20.0,0.74,12718.926968432259,0.0
12859.647517560805,20.0,0.51,12859.647517560805,0.0
12338.078914556874,20.0,0.14,12338.078914556874,0.0
12679.103648938672,20.0,-0.56,12679.103648938672,0.0
12866.127057523208,19.999999999999993,-1.38,12866.127057523208,0.0
10126.306784780114,20.0,1.21,10126.306784780114,0.0
8530.95101191637,20.0,2.66,8530.95101191637,0.0
8172.746453562795,20.000000000000004,4.32,8172.746453562795,0.0
4857.364313240231,20.0,5.16,4857.364313240231,0.0
4873.358647206141,20.000000000000007,5.9,4873.358647206141,0.0
5209.743217348979,20.0,6.34,5209.743217348979,0.0
6641.084020600679,20.000000000000004,5.82,6641.084020600679,0.0
10303.305713879925,20.0,4.47,10303.305713879925,0.0
10735.557649314796,20.0,3.03,10735.557649314796,0.0
11557.826801296276,20.0,1.56,11557.826801296276,0.0
12830.760484444389,19.999999999999996,0.04,12830.760484444389,0.0
13511.119939018565,19.999999999999993,-1.15,13511.119939018565,0.0
14106.597080505904,20.0,-2.19,14106.597080505904,0.0
14717.645165866017,20.000000000000004,-2.61,14717.645165866017,0.0
14990.458537826098,20.000000000000004,-3.06,14990.458537826098,0.0
14975.941408341896,19.999999999999996,-3.04,14975.941408341896,0.0
14881.786439399184,19.999999999999996,-2.9,14881.786439399184,0.0
15017.828878119393,20.0,-3.09,15017.828878119393,0.0
15018.501441167182,19.999999999999993,-3.11,15018.501441167182,0.0
15037.175102596473,19.999999999999993,-3.14,15037.175102596473,0.0
15028.506360290694,20.0,-3.13,15028.506360290694,0.0
14054.037848647262,19.999999999999993,-3.01,14054.037848647262,0.0
14036.005790882258,20.0,-3.08,14036.005790882258,0.0
13528.382793869654,19.999999999999993,-2.63,13528.382793869654,0.0
11363.122655409568,19.999999999999993,-0.87,11363.122655409568,0.0
8870.09291052044,20.0,2.55,8870.09291052044,0.0
7795.597036660769,20.0,5.58,7795.597036660769,0.0
3698.2305071619153,20.000000000000004,7.25,3698.2305071619153,0.0
3941.047193330388,20.0,7.84,3941.047193330388,0.0
4517.728692101403,20.0,7.71,4517.728692101403,0.0
6212.933148155554,20.0,6.93,6212.933148155554,0.0
9271.269095963054,20.000000000000004,6.22,9271.269095963054,0.0
9366.163065651386,20.0,5.42,9366.163065651386,0.0
9901.552162299224,20.000000000000007,4.48,9901.552162299224,0.0
11461.682513313632,19.999999999999993,2.45,11461.682513313632,0.0
13334.368698827962,20.000000000000007,-0.63,13334.368698827962,0.0
13537.831255472243,20.0,-1.26,13537.831255472243,0.0
14219.446729760253,20.0,-1.77,14219.446729760253,0.0
14299.530081849702,20.0,-1.94,14299.530081849702,0.0
14490.408312624619,20.000000000000004,-2.2,14490.408312624619,0.0
14624.33984510132,19.999999999999996,-2.43,14624.33984510132,0.0
14609.008117262641,19.999999999999996,-2.43,14609.008117262641,0.0
14295.567386510475,20.000000000000004,-1.96,14295.567386510475,0.0
14053.470418606996,19.999999999999993,-1.55,14053.470418606996,0.0
13820.711772964481,20.0,-1.16,13820.711772964481,0.0
12767.70395822236,19.999999999999996,-0.73,12767.70395822236,0.0
12415.923035109568,20.0,-0.23,12415.923035109568,0.0
12278.684472687613,19.999999999999993,-0.4,12278.684472687613,0.0
11343.438978494632,20.0,0.18,11343.438978494632,0.0
10460.274588485197,19.999999999999996,1.11,10460.274588485197,0.0
8915.620015211829,19.999999999999996,1.69,8915.620015211829,0.0
8149.026380146953,20.0,2.41,8149.026380146953,0.0
8209.392152897315,20.000000000000004,2.6,8209.392152897315,0.0
9458.709612463892,19.999999999999993,2.52,9458.709612463892,0.0
