Q_HC,T_op,T_ext,Q_H,Q_C
5785.509902493015,19.999999999999993,0.54,5785.509902493015,0.0
5196.910909818565,19.99999999999999,0.68,5196.910909818565,0.0
5160.7607251524805,20.000000000000004,0.82,5160.7607251524805,0.0
5127.435384147402,19.999999999999993,0.95,5127.435384147402,0.0
5091.042511867881,19.999999999999996,1.09,5091.042511867881,0.0
5054.892327201797,20.000000000000004,1.23,5054.892327201797,0.0
4437.7105720456,19.999999999999993,1.37,4437.7105720456,0.0
4330.6661626535115,19.999999999999993,1.51,4330.6661626535115,0.0
3975.1468657231944,20.000000000000007,1.65,3975.1468657231944,0.0
2744.5213485055115,20.0,1.77,2744.5213485055115,0.0
2932.7883449762244,20.0,2.34,2932.7883449762244,0.0
2948.7885959664814,20.0,2.61,2948.7885959664814,0.0
2713.92877189677,20.000000000000007,2.67,2713.92877189677,0.0
2860.334988098624,20.000000000000018,2.47,2860.334988098624,0.0
3142.007494782533,20.0,2.36,3142.007494782533,0.0
3008.298718393441,20.000000000000014,1.83,3008.298718393441,0.0
4482.518667566858,20.000000000000007,1.68,4482.518667566858,0.0
4313.9906712156535,20.000000000000014,1.61,4313.9906712156535,0.0
4329.272749761905,20.000000000000007,1.56,4329.272749761905,0.0
4662.095102409144,20.00000000000001,1.48,4662.095102409144,0.0
4681.788383735255,20.0,1.44,4681.788383735255,0.0
4715.434793713744,19.999999999999993,1.31,4715.434793713744,0.0
5036.079222883322,19.999999999999993,1.21,5036.079222883322,0.0
5031.641084440108,20.000000000000004,1.22,5031.641084440108,0.0
5063.312853894061,20.000000000000007,1.22,5063.312853894061,0.0
5072.171484481572,19.999999999999993,1.18,5072.171484481572,0.0
5068.375890366816,20.000000000000007,1.19,5068.375890366816,0.0
5142.0645131666615,19.99999999999998,0.93,5142.0645131666615,0.0
5189.426664776575,20.0,0.74,5189.426664776575,0.0
5249.787004324606,19.999999999999993,0.51,5249.787004324606,0.0
4717.8823955677835,19.999999999999996,0.14,4717.8823955677835,0.0
4801.730900507717,20.000000000000007,-0.56,4801.730900507717,0.0
4759.745477748723,19.999999999999986,-1.38,4759.745477748723,0.0
3241.660164321821,20.000000000000007,1.21,3241.660164321821,0.0
2258.816248146365,19.999999999999993,2.66,2258.816248146365,0.0
2353.4728002660863,20.0,4.32,2353.4728002660863,0.0
661.7769632646365,20.000000000000007,5.16,661.7769632646365,0.0
871.7020112182903,19.999999999999993,5.9,871.7020112182903,0.0
1197.4085688066455,20.0,6.34,1197.4085688066455,0.0
2017.3786693859654,20.000000000000007,5.82,2017.3786693859654,0.0
3953.27750219518,19.999999999999996,4.47,3953.27750219518,0.0
4038.077449511797,20.000000000000007,3.03,4038.077449511797,0.0
4363.734390870182,20.000000000000007,1.56,4363.734390870182,0.0
5045.5467256585725,20.000000000000004,0.04,5045.5467256585725,0.0
5336.521717550129,19.999999999999996,-1.15,5336.521717550129,0.0
5584.579175008867,20.0,-2.19,5584.579175008867,0.0
6030.228836687989,20.000000000000014,-2.61,6030.228836687989,0.0
6147.967503021476,20.0,-3.06,6147.967503021476,0.0
6162.825954935229,20.0,-3.04,6162.825954935229,0.0
6121.322774851334,20.000000000000007,-2.9,6121.322774851334,0.0
6178.392430998777,19.999999999999986,-3.09,6178.392430998777,0.0
6179.431053665477,19.999999999999993,-3.11,6179.431053665477,0.0
6187.420209421655,20.0,-3.14,6187.420209421655,0.0
6183.86730292032,20.0,-3.13,6183.86730292032,0.0
5391.806539091376,19.999999999999996,-3.01,5391.806539091376,0.0
5335.094250126763,20.000000000000007,-3.08,5335.094250126763,0.0
5044.308916869782,20.0,-2.63,5044.308916869782,0.0
3730.3658578090685,20.0,-0.87,3730.3658578090685,0.0
2560.8977347185246,19.999999999999993,2.55,2560.8977347185246,0.0
2383.7184911239356,20.000000000000004,5.58,2383.7184911239356,0.0
336.840856303066,20.000000000000007,7.25,336.840856303066,0.0
367.8935032645761,19.999999999999996,7.84,367.8935032645761,0.0
962.0239069741544,20.0,7.71,962.0239069741544,0.0
1840.164328527041,20.0,6.93,1840.164328527041,0.0
3552.3751857236957,19.999999999999993,6.22,3552.3751857236957,0.0
3502.196283702144,19.999999999999993,5.42,3502.196283702144,0.0
3715.1315528120113,19.999999999999993,4.48,3715.1315528120113,0.0
4474.6626115387835,19.999999999999993,2.45,4474.6626115387835,0.0
5256.540790659855,20.0,-0.63,5256.540790659855,0.0
5349.553090892417,20.000000000000007,-1.26,5349.553090892417,0.0
5815.511917212417,19.999999999999993,-1.77,5815.511917212417,0.0
5851.970772516511,19.999999999999996,-1.94,5851.970772516511,0.0
5952.720100114996,20.000000000000007,-2.2,5952.720100114996,0.0
6008.940882312414,20.000000000000014,-2.43,6008.940882312414,0.0
6003.359067203315,19.999999999999996,-2.43,6003.359067203315,0.0
5870.591415135571,19.999999999999996,-1.96,5870.591415135571,0.0
5766.1791428655215,20.0,-1.55,5766.1791428655215,0.0
5665.960432236873,20.0,-1.16,5665.960432236873,0.0
4887.883188977275,20.0,-0.73,4887.883188977275,0.0
4700.761013538871,19.999999999999993,-0.23,4700.761013538871,0.0
4530.510035612928,20.0,-0.4,4530.510035612928,0.0
3929.208179241417,19.999999999999993,0.18,3929.208179241417,0.0
3436.0266360834758,19.999999999999986,1.11,3436.0266360834758,0.0
2316.3955714091203,20.0,1.69,2316.3955714091203,0.0
1940.9221913739282,19.999999999999993,2.41,1940.9221913739282,0.0
2047.0801298119663,20.000000000000007,2.6,2047.0801298119663,0.0
2942.3882462944975,20.0,2.52,2942.3882462944975,0.0
3754.6479212050713,20.000000000000007,2.17,3754.6479212050713,0.0
4395.104507673101,20.000000000000007,1.69,4395.104507673101,0.0
4377.150258210664,20.000000000000004,1.35,4377.150258210664,0.0
4414.918340139422,20.0,1.18,4414.918340139422,0.0
4809.981624290954,20.000000000000004,0.89,4809.981624290954,0.0
4912.452796062853,20.0,0.52,4912.452796062853,0.0
4967.381958240531,20.0,0.28,4967.381958240531,0.0
5333.114576054991,20.000000000000004,0.07,5333.114576054991,0.0
5342.9559358300485,20.00000000000001,0.02,5342.9559358300485,0.0
5472.041107738933,20.000000000000007,-0.33,5472.041107738933,0.0
5585.399418296739,20.0,-0.77,5585.399418296739,0.0
5701.8391280511705,19.999999999999993,-1.22,5701.8391280511705,0.0
5620.297093921042,19.999999999999996,-0.97,5620.297093921042,0.0
6146.13551788396,19.999999999999986,-2.81,6146.13551788396,0.0
6197.525681485831,20.000000000000014,-3.15,6197.525681485831,0.0
5582.491742754666,20.000000000000007,-3.8,5582.491742754666,0.0
5545.810599482401,19.999999999999993,-4.03,5545.810599482401,0.0
4970.618896764498,20.000000000000007,-2.78,4970.618896764498,0.0
3148.6713211404503,20.000000000000007,-0.6,3148.6713211404503,0.0
2648.0224738885686,20.000000000000007,0.36,2648.0224738885686,0.0
1899.9799855424403,20.000000000000007,1.66,1899.9799855424403,0.0
1433.4727161063038,20.0,2.5,1433.4727161063038,0.0
1382.9300200879243,20.000000000000007,3.15,1382.9300200879243,0.0
1971.4946936410774,20.000000000000007,3.51,1971.4946936410774,0.0
2870.4627538815457,19.999999999999986,3.4,2870.4627538815457,0.0
4420.96822024191,19.99999999999999,2.07,4420.96822024191,0.0
4548.504397466162,20.000000000000007,0.68,4548.504397466162,0.0
4817.297639001051,19.99999999999999,-0.55,4817.297639001051,0.0
5308.556941607994,19.999999999999993,-1.14,5308.556941607994,0.0
5544.878985200495,19.999999999999993,-2.04,5544.878985200495,0.0
5549.6656849389,20.0,-2.14,5549.6656849389,0.0
5774.381501602718,20.0,-1.7,5774.381501602718,0.0
5692.65349713266,19.999999999999993,-1.37,5692.65349713266,0.0
5672.769553335318,20.0,-1.16,5672.769553335318,0.0
5791.243839262633,20.0,-1.57,5791.243839262633,0.0
5818.016614704862,20.0,-1.7,5818.016614704862,0.0
5831.810737696262,20.000000000000004,-1.76,5831.810737696262,0.0
5830.354612015633,20.000000000000014,-1.76,5830.354612015633,0.0
5779.507426117336,19.99999999999999,-1.58,5779.507426117336,0.0
5426.8271468371595,19.999999999999993,-1.29,5426.8271468371595,0.0
5285.638952357025,20.000000000000007,-0.99,5285.638952357025,0.0
4902.824564342751,19.999999999999996,0.01,4902.824564342751,0.0
3828.7249423861185,20.0,0.84,3828.7249423861185,0.0
2658.650191717263,19.999999999999993,2.95,2658.650191717263,0.0
2061.0016193879324,19.999999999999993,4.72,2061.0016193879324,0.0
588.4704059898186,20.0,7.69,588.4704059898186,0.0
907.6047956799487,19.999999999999993,9.02,907.6047956799487,0.0
1127.8680635458545,20.000000000000007,9.14,1127.8680635458545,0.0
2323.468001271605,20.0,8.34,2323.468001271605,0.0
3717.8407556753955,20.0,6.46,3717.8407556753955,0.0
4014.4753976282122,20.00000000000001,4.49,4014.4753976282122,0.0
4133.9817940759685,20.000000000000007,3.88,4133.9817940759685,0.0
4133.123788587141,20.0,3.71,4133.123788587141,0.0
4205.998881069294,19.999999999999996,3.43,4205.998881069294,0.0
4153.9350334816245,19.999999999999986,3.6,4153.9350334816245,0.0
4526.6859541575295,20.000000000000007,3.21,4526.6859541575295,0.0
4450.238470721224,20.000000000000007,3.45,4450.238470721224,0.0
4479.0175243012145,19.999999999999993,3.48,4479.0175243012145,0.0
4364.31109664434,20.00000000000001,3.88,4364.31109664434,0.0
4461.588754673377,20.000000000000007,3.57,4461.588754673377,0.0
4778.922459673633,20.000000000000007,2.42,4778.922459673633,0.0
4979.825720670502,19.999999999999986,1.61,4979.825720670502,0.0
4818.92584093119,20.000000000000014,2.11,4818.92584093119,0.0
4512.481223661003,19.999999999999996,2.48,4512.481223661003,0.0
4373.234530088382,20.000000000000014,2.78,4373.234530088382,0.0
4112.5024035025735,20.0,2.94,4112.5024035025735,0.0
3137.288883240145,19.999999999999996,3.49,3137.288883240145,0.0
2537.75477726338,19.999999999999996,4.92,2537.75477726338,0.0
1447.281900968554,19.999999999999993,7.02,1447.281900968554,0.0
650.184827753931,19.999999999999996,7.94,650.184827753931,0.0
903.558368059007,19.999999999999993,7.92,903.558368059007,0.0
1222.3951480929952,20.000000000000007,8.23,1222.3951480929952,0.0
2282.3077392525774,20.0,7.7,2282.3077392525774,0.0
3848.122191065175,19.999999999999993,6.01,3848.122191065175,0.0
3870.411530284095,20.000000000000004,4.99,3870.411530284095,0.0
4066.230419904265,20.000000000000004,4.18,4066.230419904265,0.0
4246.918756781808,20.0,3.31,4246.918756781808,0.0
4401.331480630406,20.0,2.66,4401.331480630406,0.0
4555.979729423318,20.000000000000007,2.02,4555.979729423318,0.0
4824.497706895157,20.000000000000007,2.02,4824.497706895157,0.0
4873.333630484611,20.0,1.85,4873.333630484611,0.0
4914.761241201756,19.999999999999996,1.8,4914.761241201756,0.0
5015.626274535612,19.999999999999986,1.43,5015.626274535612,0.0
5263.707605990854,20.0,0.52,5263.707605990854,0.0
5558.005523201746,20.0,-0.6,5558.005523201746,0.0
5553.423259784764,20.000000000000007,-0.68,5553.423259784764,0.0
5500.634572978961,19.999999999999993,-0.5,5500.634572978961,0.0
5192.077276599325,20.0,-0.31,5192.077276599325,0.0
5115.033668354496,20.0,-0.26,5115.033668354496,0.0
4635.031620648175,20.0,0.81,4635.031620648175,0.0
4001.266822519798,19.999999999999993,1.85,4001.266822519798,0.0
3324.8372595054484,20.0,2.75,3324.8372595054484,0.0
3175.5696168130307,20.0,3.28,3175.5696168130307,0.0
3093.1599737519223,20.0,3.57,3093.1599737519223,0.0
3354.5536694571806,20.0,3.52,3354.5536694571806,0.0
3708.519196837506,19.99999999999999,3.76,3708.519196837506,0.0
3821.0580202889105,19.999999999999986,3.61,3821.0580202889105,0.0
4405.5412127076115,20.000000000000007,3.21,4405.5412127076115,0.0
4364.322140921509,20.0,2.88,4364.322140921509,0.0
4547.595032426285,20.00000000000001,2.18,4547.595032426285,0.0
4541.889979921712,20.000000000000007,2.02,4541.889979921712,0.0
4625.6591939964555,19.999999999999993,1.7,4625.6591939964555,0.0
4655.173209293453,19.999999999999986,1.56,4655.173209293453,0.0
5022.372507592173,19.99999999999999,1.28,5022.372507592173,0.0
5061.588334344344,20.0,1.12,5061.588334344344,0.0
5080.659883386788,20.0,1.15,5080.659883386788,0.0
5047.873921899379,20.0,1.26,5047.873921899379,0.0
5027.94473635907,19.999999999999993,1.34,5027.94473635907,0.0
5038.360768249635,19.999999999999993,1.31,5038.360768249635,0.0
5031.98301808728,19.999999999999982,1.33,5031.98301808728,0.0
5012.694487687051,20.0,1.4,5012.694487687051,0.0
4434.576619237721,19.999999999999993,1.4,4434.576619237721,0.0
4367.692436675508,20.0,1.36,4367.692436675508,0.0
4106.56262434599,20.000000000000014,1.63,4106.56262434599,0.0
3011.2728056782535,20.000000000000004,1.8,3011.2728056782535,0.0
2693.804705391624,20.0,2.3,2693.804705391624,0.0
2588.8901986567807,19.999999999999996,2.67,2588.8901986567807,0.0
2651.1054945174105,20.0,3.3,2651.1054945174105,0.0
2481.0126612534464,20.0,3.61,2481.0126612534464,0.0
2457.6023022318664,20.000000000000014,3.84,2457.6023022318664,0.0
2918.418563480282,19.999999999999993,3.79,2918.418563480282,0.0
4122.493396044715,20.000000000000004,3.24,4122.493396044715,0.0
4134.060671822006,20.000000000000007,2.51,4134.060671822006,0.0
4334.175469753253,19.999999999999982,1.63,4334.175469753253,0.0
4759.656821515573,20.000000000000007,1.12,4759.656821515573,0.0
4955.314630098968,20.0,0.38,4955.314630098968,0.0
5121.092982844874,20.0,-0.31,5121.092982844874,0.0
5556.082874387471,20.00000000000001,-0.77,5556.082874387471,0.0
5720.873132504476,19.999999999999993,-1.39,5720.873132504476,0.0
5920.870420277856,19.99999999999999,-2.04,5920.870420277856,0.0
6038.247477076579,20.000000000000007,-2.52,6038.247477076579,0.0
6184.789716648421,20.0,-3.08,6184.789716648421,0.0
6190.973115922976,20.0,-3.15,6190.973115922976,0.0
6336.166173001752,20.000000000000007,-3.67,6336.166173001752,0.0
6464.788600153751,19.999999999999996,-4.17,6464.788600153751,0.0
5758.587708055887,19.999999999999993,-4.63,5758.587708055887,0.0
5711.9983449662805,19.999999999999996,-4.8,5711.9983449662805,0.0
5563.536214891276,20.0,-4.83,5563.536214891276,0.0
3996.1668082831675,19.99999999999999,-4.53,3996.1668082831675,0.0
2713.364765653756,19.999999999999993,-0.61,2713.364765653756,0.0
2091.204717529273,20.0,2.58,2091.204717529273,0.0
812.6704846665995,20.000000000000007,4.97,812.6704846665995,0.0
2367.9252349401704,20.00000000000002,5.87,2367.9252349401704,0.0
1946.6997249765086,20.000000000000004,5.31,1946.6997249765086,0.0
3368.021556024957,20.0,4.32,3368.021556024957,0.0
4126.425386255983,20.0,3.03,4126.425386255983,0.0
4116.864828212567,20.000000000000007,2.56,4116.864828212567,0.0
4093.4008332759413,20.0,2.63,4093.4008332759413,0.0
4440.416837031805,20.0,2.41,4440.416837031805,0.0
4509.969661665541,19.999999999999993,2.17,4509.969661665541,0.0
4570.716621312706,20.000000000000007,1.92,4570.716621312706,0.0
4822.070830760765,20.0,2.02,4822.070830760765,0.0
4842.26035021344,20.0,1.96,4842.26035021344,0.0
4928.730179593647,20.0,1.76,4928.730179593647,0.0
4963.808338183566,20.0,1.61,4963.808338183566,0.0
5008.19036621926,19.999999999999993,1.44,5008.19036621926,0.0
4987.115614824705,19.999999999999993,1.5,4987.115614824705,0.0
5008.345646132458,19.999999999999986,1.43,5008.345646132458,0.0
5054.6691750756645,20.0,1.26,5054.6691750756645,0.0
4503.775415012937,20.000000000000007,1.1,4503.775415012937,0.0
4425.748588399366,20.000000000000007,1.09,4425.748588399366,0.0
4169.9513200997135,20.000000000000007,1.46,4169.9513200997135,0.0
3516.9902139295978,20.0,1.51,3516.9902139295978,0.0
2993.091645508056,19.999999999999993,1.61,2993.091645508056,0.0
2345.1314534143935,19.999999999999996,1.73,2345.1314534143935,0.0
2352.114959143126,20.0,2.05,2352.114959143126,0.0
2869.0309769770115,20.0,2.13,2869.0309769770115,0.0
2158.975506489371,19.999999999999986,2.0,2158.975506489371,0.0
