Q_HC,T_op,T_ext,Q_H,Q_C
13922.729337322186,20.0,0.54,13922.729337322186,0.0
12379.814627097041,20.0,0.68,12379.814627097041,0.0
12295.170581070319,20.000000000000007,0.82,12295.170581070319,0.0
12217.24729548356,20.0,0.95,12217.24729548356,0.0
12131.928492304498,20.0,1.09,12131.928492304498,0.0
12047.284446277781,20.0,1.23,12047.284446277781,0.0
11274.63552510623,20.0,1.37,11274.63552510623,0.0
11125.64118901331,20.0,1.51,11125.64118901331,0.0
10640.380934762963,20.0,1.65,10640.380934762963,0.0
9076.990415502758,20.0,1.77,9076.990415502758,0.0
9136.053926583183,20.0,2.34,9136.053926583183,0.0
9098.40831147851,19.999999999999993,2.61,9098.40831147851,0.0
8785.02957565742,20.0,2.67,8785.02957565742,0.0
9030.23940965647,20.000000000000004,2.47,9030.23940965647,0.0
9409.352961536444,20.000000000000004,2.36,9409.352961536444,0.0
9189.25226722808,19.999999999999996,1.83,9189.25226722808,0.0
11285.629549261894,20.0,1.68,11285.629549261894,0.0
11083.871685187672,20.000000000000004,1.61,11083.871685187672,0.0
11114.86024949893,20.00000000000001,1.56,11114.86024949893,0.0
11542.39107871872,20.0,1.48,11542.39107871872,0.0
11572.981610001534,20.0,1.44,11572.981610001534,0.0
11655.301740109007,20.0,1.31,11655.301740109007,0.0
12047.819615311922,20.000000000000004,1.21,12047.819615311922,0.0
12035.079346115772,19.999999999999996,1.22,12035.079346115772,0.0
12064.961237999963,19.999999999999996,1.22,12064.961237999963,0.0
12089.660091458072,20.0,1.18,12089.660091458072,0.0
12080.240302408727,20.000000000000004,1.19,12080.240302408727,0.0
12255.654831000196,19.999999999999996,0.93,12255.654831000196,0.0
12365.805593398625,19.999999999999996,0.74,12365.805593398625,0.0
12507.562697623332,20.0,0.51,12507.562697623332,0.0
11997.10280938137,19.999999999999993,0.14,11997.10280938137,0.0
12340.26645312452,20.00000000000001,-0.56,12340.26645312452,0.0
12526.554104112178,20.000000000000007,-1.38,12526.554104112178,0.0
9772.408728036698,19.999999999999993,1.21,9772.408728036698,0.0
8157.7551781659595,20.0,2.66,8157.7551781659595,0.0
7801.282774680484,19.999999999999996,4.32,7801.282774680484,0.0
4444.874261942859,20.000000000000007,5.16,4444.874261942859,0.0
4466.383608452791,19.999999999999996,5.9,4466.383608452791,0.0
4809.277243765872,20.000000000000007,6.34,4809.277243765872,0.0
6257.581792282358,20.0,5.82,6257.581792282358,0.0
9949.100068202757,19.999999999999996,4.47,9949.100068202757,0.0
10381.973877905855,20.0,3.03,10381.973877905855,0.0
11210.675765131668,20.0,1.56,11210.675765131668,0.0
12484.141759889913,20.0,0.04,12484.141759889913,0.0
13169.659819115046,19.999999999999993,-1.15,13169.659819115046,0.0
13769.516987720946,20.0,-2.19,13769.516987720946,0.0
14378.985100058873,20.000000000000004,-2.61,14378.985100058873,0.0
14653.807582226178,20.0,-3.06,14653.807582226178,0.0
14639.209124222656,20.000000000000004,-3.04,14639.209124222656,0.0
14544.283804066044,20.0,-2.9,14544.283804066044,0.0
14681.424852558222,20.000000000000007,-3.09,14681.424852558222,0.0
14682.04598754362,19.999999999999993,-3.11,14682.04598754362,0.0
14700.858754558842,19.999999999999996,-3.14,14700.858754558842,0.0
14692.113722661848,20.000000000000007,-3.13,14692.113722661848,0.0
13726.130935699279,20.0,-3.01,13726.130935699279,0.0
13707.429733953073,20.000000000000004,-3.08,13707.429733953073,0.0
13193.963010630576,19.999999999999996,-2.63,13193.963010630576,0.0
11020.225076057695,19.999999999999996,-0.87,11020.225076057695,0.0
8502.114243924338,19.999999999999993,2.55,8502.114243924338,0.0
7423.20369994209,20.0,5.58,7423.20369994209,0.0
3277.3816955151055,20.0,7.25,3277.3816955151055,0.0
3524.2385544130393,20.0,7.84,3524.2385544130393,0.0
4112.234935762784,20.000000000000007,7.71,4112.234935762784,0.0
5825.882756076258,20.0,6.93,5825.882756076258,0.0
8908.906625719253,20.0,6.22,8908.906625719253,0.0
9001.837663961998,20.0,5.42,9001.837663961998,0.0
9541.4830385319,20.000000000000007,4.48,9541.4830385319,0.0
11105.046444469592,19.999999999999996,2.45,11105.046444469592,0.0
12992.199657962414,20.0,-0.63,12992.199657962414,0.0
13196.390378053073,20.0,-1.26,13196.390378053073,0.0
13877.19363826963,20.0,-1.77,13877.19363826963,0.0
13957.7620137468,19.999999999999993,-1.94,13957.7620137468,0.0
14150.238048327941,19.999999999999996,-2.2,14150.238048327941,0.0
14285.087664184475,20.000000000000004,-2.43,14285.087664184475,0.0
14269.568249680573,19.999999999999993,-2.43,14269.568249680573,0.0
13953.692509002167,20.0,-1.96,13953.692509002167,0.0
13709.854917123686,20.000000000000007,-1.55,13709.854917123686,0.0
13475.410303211074,20.000000000000004,-1.16,13475.410303211074,0.0
12429.795052210095,20.0,-0.73,12429.795052210095,0.0
12074.695561561317,19.999999999999996,-0.23,12074.695561561317,0.0
11934.388954181515,20.0,-0.4,11934.388954181515,0.0
11004.223156988619,19.999999999999993,0.18,11004.223156988619,0.0
10110.731687064037,20.0,1.11,10110.731687064037,0.0
