Q_HC,T_op,T_ext,Q_H,Q_C
8102.550796311429,20.0,9.2,8102.550796311429,0.0
7103.651217375766,19.999999999999996,9.4,7103.651217375766,0.0
6848.315942823985,20.0,9.8,6848.315942823985,0.0
6740.891020118389,19.999999999999996,10.0,6740.891020118389,0.0
6687.1785587655995,20.0,10.1,6687.1785587655995,0.0
6828.341339088354,20.000000000000004,9.9,6828.341339088354,0.0
6700.511888564295,20.0,9.6,6700.511888564295,0.0
6797.65093018071,20.000000000000004,9.3,6797.65093018071,0.0
6342.967763375957,19.999999999999996,10.0,6342.967763375957,0.0
5724.723889306911,20.0,10.4,5724.723889306911,0.0
1636.3272202242265,20.0,12.0,1636.3272202242265,0.0
506.24361499797857,19.999999999999993,13.0,506.24361499797857,0.0
0.0,21.84321556515827,16.2,0.0,0.0
0.0,22.1334251308244,15.0,0.0,0.0
0.0,22.21594317368316,15.0,0.0,0.0
0.0,23.0787792907249,17.6,0.0,0.0
743.0052265928641,20.000000000000004,15.0,743.0052265928641,0.0
5315.4497156484,20.0,15.0,5315.4497156484,0.0
2030.2724363946074,20.000000000000004,16.0,2030.2724363946074,0.0
4419.016354592912,20.0,14.0,4419.016354592912,0.0
3549.62531704002,20.0,15.0,3549.62531704002,0.0
3093.9062094014685,19.999999999999993,15.8,3093.9062094014685,0.0
5101.7661703371505,20.0,13.0,5101.7661703371505,0.0
5585.638274444908,19.999999999999993,12.0,5585.638274444908,0.0
3665.556770751888,20.0,14.8,3665.556770751888,0.0
5062.041464300163,20.0,13.0,5062.041464300163,0.0
4940.585176878376,20.0,13.0,4940.585176878376,0.0
4806.169968079052,20.0,13.2,4806.169968079052,0.0
5626.156363921861,20.0,12.0,5626.156363921861,0.0
5545.1855056406675,20.0,12.0,5545.1855056406675,0.0
4961.6016241079415,20.0,12.6,4961.6016241079415,0.0
5934.399491562911,20.0,11.0,5934.399491562911,0.0
5830.806723791503,20.0,11.0,5830.806723791503,0.0
4905.421525643547,19.99999999999999,12.2,4905.421525643547,0.0
5102.039684340278,20.000000000000007,11.0,5102.039684340278,0.0
4229.5478277941575,20.000000000000004,11.0,4229.5478277941575,0.0
2757.62816042025,20.000000000000007,12.6,2757.62816042025,0.0
3067.9994804319576,20.000000000000004,11.0,3067.9994804319576,0.0
2528.5969403991207,20.0,11.0,2528.5969403991207,0.0
1301.1585617264589,20.000000000000007,13.0,1301.1585617264589,0.0
1343.9778815075772,20.0,13.0,1343.9778815075772,0.0
3121.381650720177,20.0,13.0,3121.381650720177,0.0
3801.083293211325,20.0,13.6,3801.083293211325,0.0
6223.196365393002,20.000000000000007,11.0,6223.196365393002,0.0
5963.172285701427,20.0,11.0,5963.172285701427,0.0
6093.970991419653,20.000000000000007,10.8,6093.970991419653,0.0
