Q_HC,T_op,T_ext,Q_H,Q_C
0.0,19.88129358023891,9.2,0.0,0.0
0.0,19.784769008808905,9.4,0.0,0.0
0.0,19.68428459135967,9.8,0.0,0.0
0.0,19.58402634620361,10.0,0.0,0.0
0.0,19.48590126428175,10.1,0.0,0.0
2424.1306151270483,20.0,9.9,2424.1306151270483,0.0
2373.514461850107,20.0,9.6,2373.514461850107,0.0
2536.0439955543434,20.0,9.3,2536.0439955543434,0.0
2598.706346460861,20.0,10.0,2598.706346460861,0.0
2793.476872649235,20.0,10.4,2793.476872649235,0.0
2575.340550465121,20.0,12.0,2575.340550465121,0.0
2406.540825374142,20.0,13.0,2406.540825374142,0.0
1911.9163970825887,20.0,16.2,1911.9163970825887,0.0
1916.371971606756,20.0,15.0,1916.371971606756,0.0
1827.2061185302518,20.0,15.0,1827.2061185302518,0.0
1475.7141555172566,20.0,17.6,1475.7141555172566,0.0
1730.4947515064086,19.999999999999996,15.0,1730.4947515064086,0.0
1782.5452480623676,20.000000000000004,15.0,1782.5452480623676,0.0
1646.5860195800637,20.0,16.0,1646.5860195800637,0.0
1864.126660701407,20.0,14.0,1864.126660701407,0.0
1793.1561818894825,20.0,15.0,1793.1561818894825,0.0
1737.3151114701946,20.0,15.8,1737.3151114701946,0.0
2110.928500994673,20.0,13.0,2110.928500994673,0.0
0.0,19.375796954952605,12.0,0.0,0.0
0.0,19.214843621732932,14.8,0.0,0.0
0.0,19.105923644329344,13.0,0.0,0.0
0.0,19.0390858056956,13.0,0.0,0.0
0.0,18.98520981391892,13.2,0.0,0.0
0.0,18.909776904410464,12.0,0.0,0.0
3715.90897419411,19.999999999999996,12.0,3715.90897419411,0.0
3054.7110673198217,20.0,12.6,3054.7110673198217,0.0
3278.117322256715,20.0,11.0,3278.117322256715,0.0
3346.889563285647,20.0,11.0,3346.889563285647,0.0
3382.8390810573856,20.0,12.2,3382.8390810573856,0.0
3566.24757188184,20.0,11.0,3566.24757188184,0.0
3570.442347834427,20.000000000000004,11.0,3570.442347834427,0.0
3377.310081649302,20.0,12.6,3377.310081649302,0.0
3525.1986112261684,19.999999999999996,11.0,3525.1986112261684,0.0
3503.6001640447375,20.0,11.0,3503.6001640447375,0.0
3258.513689802802,20.0,13.0,3258.513689802802,0.0
3182.0916936882018,20.0,13.0,3182.0916936882018,0.0
3202.6093006098085,20.0,13.0,3202.6093006098085,0.0
3138.196326813638,20.0,13.6,3138.196326813638,0.0
3415.4568936705314,20.0,11.0,3415.4568936705314,0.0
3468.5180963560133,20.000000000000007,11.0,3468.5180963560133,0.0
3554.2156924536334,20.0,10.8,3554.2156924536334,0.0
3831.667074001484,20.000000000000004,9.0,3831.667074001484,0.0
0.0,18.865421826824484,9.0,0.0,0.0
0.0,18.521498296426813,9.8,0.0,0.0
0.0,18.341742270850578,8.0,0.0,0.0
0.0,18.23042971127036,8.0,0.0,0.0
0.0,18.166467831605324,9.6,0.0,0.0
0.0,18.044658940664267,7.0,0.0,0.0
6516.145301485832,20.0,7.0,6516.145301485832,0.0
5119.453854964876,20.0,8.8,5119.453854964876,0.0
5366.495287206998,20.0,7.0,5366.495287206998,0.0
5432.0166721904125,20.0,7.0,5432.0166721904125,0.0
5409.914131358212,20.0,8.6,5409.914131358212,0.0
5539.795925032554,20.0,7.0,5539.795925032554,0.0
