Q_HC,T_op,T_ext,Q_H,Q_C
0.0,19.971592442110776,9.2,0.0,0.0
0.0,19.885611010948857,9.4,0.0,0.0
0.0,19.787134949579873,9.8,0.0,0.0
0.0,19.688295906648204,10.0,0.0,0.0
0.0,19.591880716108687,10.1,0.0,0.0
2120.006101790834,20.0,9.9,2120.006101790834,0.0
2139.007807088862,20.0,9.6,2139.007807088862,0.0
2295.5498693776085,20.0,9.3,2295.5498693776085,0.0
2373.357525588439,20.0,10.0,2373.357525588439,0.0
2575.139095001693,19.999999999999996,10.4,2575.139095001693,0.0
2385.116658595921,20.0,12.0,2385.116658595921,0.0
2233.2040551043915,20.0,13.0,2233.2040551043915,0.0
1800.9021331497017,20.0,16.2,1800.9021331497017,0.0
1770.900088499677,20.000000000000004,15.0,1770.900088499677,0.0
1685.708776560663,20.0,15.0,1685.708776560663,0.0
1388.7750686081679,19.999999999999996,17.6,1388.7750686081679,0.0
1583.392939340848,20.0,15.0,1583.392939340848,0.0
1646.4307980545884,20.0,15.0,1646.4307980545884,0.0
1527.8679946233185,20.0,16.0,1527.8679946233185,0.0
1701.5058262899195,20.000000000000007,14.0,1701.5058262899195,0.0
1657.3926980116705,20.0,15.0,1657.3926980116705,0.0
1615.2607745021012,20.0,15.8,1615.2607745021012,0.0
1928.8111821626958,19.999999999999996,13.0,1928.8111821626958,0.0
0.0,19.444055979937822,12.0,0.0,0.0
0.0,19.27956042368746,14.8,0.0,0.0
0.0,19.187385802913838,13.0,0.0,0.0
0.0,19.124103025952508,13.0,0.0,0.0
0.0,19.0708858739141,13.2,0.0,0.0
0.0,19.00608623369599,12.0,0.0,0.0
3433.1079316113864,20.0,12.0,3433.1079316113864,0.0
2854.9294449258196,20.0,12.6,2854.9294449258196,0.0
3043.8212381615017,20.0,11.0,3043.8212381615017,0.0
3118.039344501997,19.999999999999996,11.0,3118.039344501997,0.0
3180.4951827247937,20.0,12.2,3180.4951827247937,0.0
3335.4221253274554,19.999999999999996,11.0,3335.4221253274554,0.0
3342.7791964172893,20.0,11.0,3342.7791964172893,0.0
3182.5299799828626,19.999999999999993,12.6,3182.5299799828626,0.0
3292.1313923134,20.0,11.0,3292.1313923134,0.0
3275.3029671857694,20.0,11.0,3275.3029671857694,0.0
3072.0451512962854,20.0,13.0,3072.0451512962854,0.0
2990.113259851161,20.0,13.0,2990.113259851161,0.0
