Q_HC,T_op,T_ext,Q_H,Q_C
0.0,19.966962124264903,9.2,0.0,0.0
0.0,19.875880020692332,9.4,0.0,0.0
0.0,19.772276893522935,9.8,0.0,0.0
0.0,19.668313736091196,10.0,0.0,0.0
0.0,19.566762211639745,10.1,0.0,0.0
2201.830219249174,20.000000000000004,9.9,2201.830219249174,0.0
2212.84889541587,20.0,9.6,2212.84889541587,0.0
2378.892235713153,20.000000000000004,9.3,2378.892235713153,0.0
2465.281291165967,20.0,10.0,2465.281291165967,0.0
2675.0428476122665,19.999999999999996,10.4,2675.0428476122665,0.0
2487.904649777076,20.0,12.0,2487.904649777076,0.0
2336.8609792666675,20.0,13.0,2336.8609792666675,0.0
1902.1331163276377,20.0,16.2,1902.1331163276377,0.0
1869.8558113499828,20.0,15.0,1869.8558113499828,0.0
1781.3590261240295,20.0,15.0,1781.3590261240295,0.0
1478.2488442985639,20.0,17.6,1478.2488442985639,0.0
1673.5474480066937,20.0,15.0,1673.5474480066937,0.0
1740.7327085363775,20.0,15.0,1740.7327085363775,0.0
1623.7223632651696,20.0,16.0,1623.7223632651696,0.0
1802.6923584531664,20.000000000000004,14.0,1802.6923584531664,0.0
1762.250985281556,20.0,15.0,1762.250985281556,0.0
1723.0420197333322,19.999999999999996,15.8,1723.0420197333322,0.0
2042.5791371956825,19.999999999999996,13.0,2042.5791371956825,0.0
0.0,19.399848118799667,12.0,0.0,0.0
0.0,19.221598880456536,14.8,0.0,0.0
0.0,19.122619907393723,13.0,0.0,0.0
0.0,19.054427440560758,13.0,0.0,0.0
0.0,18.996872157265138,13.2,0.0,0.0
0.0,18.92740490400312,12.0,0.0,0.0
3657.618500973863,20.0,12.0,3657.618500973863,0.0
3029.337929603685,19.999999999999996,12.6,3029.337929603685,0.0
3224.1985821850058,19.999999999999996,11.0,3224.1985821850058,0.0
3304.080740454297,20.0,11.0,3304.080740454297,0.0
3370.8211163831247,20.0,12.2,3370.8211163831247,0.0
3531.070572789442,20.0,11.0,3531.070572789442,0.0
3543.0020016930976,19.999999999999996,11.0,3543.0020016930976,0.0
3385.196890274435,20.0,12.6,3385.196890274435,0.0
3498.576271424167,20.000000000000004,11.0,3498.576271424167,0.0
3484.6627209328617,20.0,11.0,3484.6627209328617,0.0
3281.2525276837637,20.0,13.0,3281.2525276837637,0.0
3195.9766050853173,20.0,13.0,3195.9766050853173,0.0
3215.425108301937,20.0,13.0,3215.425108301937,0.0
3165.452102113836,19.999999999999996,13.6,3165.452102113836,0.0
3393.424702226424,20.0,11.0,3393.424702226424,0.0
3459.919953153505,20.0,11.0,3459.919953153505,0.0
3547.109278624705,20.0,10.8,3547.109278624705,0.0
