Q_HC,T_op,T_ext,Q_H,Q_C
0.0,19.881275037227606,9.2,0.0,0.0
0.0,19.784719770329005,9.4,0.0,0.0
0.0,19.684198902234783,9.8,0.0,0.0
0.0,19.583904532054394,10.0,0.0,0.0
0.0,19.48574923377255,10.1,0.0,0.0
2424.6333955218297,20.0,9.9,2424.6333955218297,0.0
2373.9454466179654,20.0,9.6,2373.9454466179654,0.0
2536.489296539318,19.999999999999996,9.3,2536.489296539318,0.0
2599.14458325847,20.0,10.0,2599.14458325847,0.0
2793.871099211806,20.0,10.4,2793.871099211806,0.0
2575.708585826497,20.0,12.0,2575.708585826497,0.0
2406.884654987562,20.0,13.0,2406.884654987562,0.0
1912.260585293711,20.0,16.2,1912.260585293711,0.0
1916.7446899071158,20.0,15.0,1916.7446899071158,0.0
1827.63508856969,20.0,15.0,1827.63508856969,0.0
1476.2261433492693,20.0,17.6,1476.2261433492693,0.0
1731.0985273905073,20.000000000000004,15.0,1731.0985273905073,0.0
1783.2118982958116,20.0,15.0,1783.2118982958116,0.0
1647.3418291002877,20.0,16.0,1647.3418291002877,0.0
1864.986237682738,20.0,14.0,1864.986237682738,0.0
1794.1336165488137,20.0,15.0,1794.1336165488137,0.0
1738.424453831202,20.0,15.8,1738.424453831202,0.0
2112.175547773829,20.0,13.0,2112.175547773829,0.0
0.0,19.37531107380633,12.0,0.0,0.0
0.0,19.214194175146694,14.8,0.0,0.0
0.0,19.10520736993444,13.0,0.0,0.0
0.0,19.03834269265932,13.0,0.0,0.0
0.0,18.984466161897423,13.2,0.0,0.0
0.0,18.909058224128344,12.0,0.0,0.0
3717.797983368977,19.999999999999996,12.0,3717.797983368977,0.0
3055.9864390080897,20.0,12.6,3055.9864390080897,0.0
3279.2652213113843,20.0,11.0,3279.2652213113843,0.0
3347.897805876834,19.999999999999996,11.0,3347.897805876834,0.0
3383.6823281932607,20.0,12.2,3383.6823281932607,0.0
3566.909320273419,19.999999999999996,11.0,3566.909320273419,0.0
3570.9189856159255,19.999999999999996,11.0,3570.9189856159255,0.0
3377.6091526359,20.0,12.6,3377.6091526359,0.0
3525.3353559861653,20.0,11.0,3525.3353559861653,0.0
3503.5930846370097,20.0,11.0,3503.5930846370097,0.0
3258.381512272868,20.0,13.0,3258.381512272868,0.0
3181.8519264518404,20.0,13.0,3181.8519264518404,0.0
3202.257065668461,20.000000000000004,13.0,3202.257065668461,0.0
3137.7423092866384,19.999999999999996,13.6,3137.7423092866384,0.0
3414.9087105709623,20.0,11.0,3414.9087105709623,0.0
3467.8809417174284,20.0,11.0,3467.8809417174284,0.0
3553.4925060581027,20.0,10.8,3553.4925060581027,0.0
3830.8557892693334,20.0,9.0,3830.8557892693334,0.0
0.0,18.865768680244933,9.0,0.0,0.0
0.0,18.522025680491886,9.8,0.0,0.0
0.0,18.342439188266425,8.0,0.0,0.0
0.0,18.231326379673845,8.0,0.0,0.0
0.0,18.167604126989257,9.6,0.0,0.0
0.0,18.04608197489685,7.0,0.0,0.0
6511.431982522129,20.0,7.0,6511.431982522129,0.0
5115.183882915315,20.0,8.8,5115.183882915315,0.0
5361.674753410071,20.0,7.0,5361.674753410071,0.0
5426.6365264919095,20.0,7.0,5426.6365264919095,0.0
5403.955683706324,20.0,8.6,5403.955683706324,0.0
5533.283896753191,20.0,7.0,5533.283896753191,0.0
4958.237310976779,20.0,11.0,4958.237310976779,0.0
4510.504503666509,20.0,13.4,4510.504503666509,0.0
4352.721791444041,20.0,13.0,4352.721791444041,0.0
