Q_HC,T_op,T_ext,Q_H,Q_C
0.0,19.966935803451747,9.2,0.0,0.0
0.0,19.875807896293686,9.4,0.0,0.0
0.0,19.7721468363697,9.8,0.0,0.0
0.0,19.66812058571503,10.0,0.0,0.0
0.0,19.566507186428424,10.1,0.0,0.0
2202.7056451470403,19.999999999999996,9.9,2202.7056451470403,0.0
2213.6503670948505,20.0,9.6,2213.6503670948505,0.0
2379.778775689184,20.000000000000007,9.3,2379.778775689184,0.0
2466.2316440752797,20.000000000000004,10.0,2466.2316440752797,0.0
2676.018998293951,20.0,10.4,2676.018998293951,0.0
2488.921432238947,20.000000000000004,12.0,2488.921432238947,0.0
2337.916384317056,20.0,13.0,2337.916384317056,0.0
1903.2440067518182,20.000000000000004,16.2,1903.2440067518182,0.0
1871.046083075308,20.0,15.0,1871.046083075308,0.0
1782.6522737426988,20.0,15.0,1782.6522737426988,0.0
1479.6646549610005,20.0,17.6,1479.6646549610005,0.0
1675.0922371682857,20.0,15.0,1675.0922371682857,0.0
1742.373934231703,20.0,15.0,1742.373934231703,0.0
1625.4818854602013,20.0,16.0,1625.4818854602013,0.0
1804.583426846192,20.0,14.0,1804.583426846192,0.0
1764.284152985603,20.0,15.0,1764.284152985603,0.0
1725.2270421750745,20.0,15.8,1725.2270421750745,0.0
2044.921660555673,20.0,13.0,2044.921660555673,0.0
0.0,19.398956520845044,12.0,0.0,0.0
0.0,19.220422497910995,14.8,0.0,0.0
0.0,19.121329165933226,13.0,0.0,0.0
0.0,19.0530822306293,13.0,0.0,0.0
0.0,18.995505118083962,13.2,0.0,0.0
0.0,18.926043746089626,12.0,0.0,0.0
3661.2954259522116,20.0,12.0,3661.2954259522116,0.0
3031.9556093673223,20.0,12.6,3031.9556093673223,0.0
3226.6853355544577,20.0,11.0,3226.6853355544577,0.0
3306.423694673679,20.0,11.0,3306.423694673679,0.0
3372.992161200502,20.0,12.2,3372.992161200502,0.0
3533.0524586291203,19.999999999999993,11.0,3533.0524586291203,0.0
3544.789897442643,20.0,11.0,3544.789897442643,0.0
3386.7948890431253,19.999999999999996,12.6,3386.7948890431253,0.0
3499.999082385629,20.0,11.0,3499.999082385629,0.0
3485.9277701638107,20.0,11.0,3485.9277701638107,0.0
3282.374751266798,20.0,13.0,3282.374751266798,0.0
3196.9709092178964,20.0,13.0,3196.9709092178964,0.0
3216.2842871421035,19.999999999999996,13.0,3216.2842871421035,0.0
3166.183848098983,20.0,13.6,3166.183848098983,0.0
3394.037435820665,20.0,11.0,3394.037435820665,0.0
3460.4185312468717,20.0,11.0,3460.4185312468717,0.0
3547.496309942218,20.0,10.8,3547.496309942218,0.0
3795.5308517659355,19.999999999999996,9.0,3795.5308517659355,0.0
0.0,18.868446627513418,9.0,0.0,0.0
0.0,18.51618091595206,9.8,0.0,0.0
0.0,18.34525378812385,8.0,0.0,0.0
0.0,18.23120608571267,8.0,0.0,0.0
0.0,18.15214644336208,9.6,0.0,0.0
0.0,18.044152099062483,7.0,0.0,0.0
6495.757678567832,20.0,7.0,6495.757678567832,0.0
5145.820162227835,19.999999999999996,8.8,5145.820162227835,0.0
5356.973751641778,20.0,7.0,5356.973751641778,0.0
5434.558152504441,20.0,7.0,5434.558152504441,0.0
5451.207501993125,19.999999999999996,8.6,5451.207501993125,0.0
5543.723423353324,19.999999999999996,7.0,5543.723423353324,0.0
5055.024089828081,20.000000000000004,11.0,5055.024089828081,0.0
4640.517839673125,20.000000000000004,13.4,4640.517839673125,0.0
4462.660048809218,20.0,13.0,4462.660048809218,0.0
4312.57032253494,20.0,13.0,4312.57032253494,0.0
4044.627700588235,20.0,14.6,4044.627700588235,0.0
4104.109077828832,20.0,13.0,4104.109077828832,0.0
4261.135090820482,20.0,12.0,4261.135090820482,0.0
4122.368025375138,20.0,12.6,4122.368025375138,0.0
4225.984846542759,20.0,11.0,4225.984846542759,0.0
4261.28185265834,20.0,11.0,4261.28185265834,0.0
4274.527264169441,20.0,11.2,4274.527264169441,0.0
4421.148849351728,20.000000000000004,10.0,4421.148849351728,0.0
0.0,18.62755191246432,10.0,0.0,0.0
0.0,18.216014242620716,10.2,0.0,0.0
0.0,18.030224689643724,8.0,0.0,0.0
0.0,17.91432934881521,8.0,0.0,0.0
0.0,17.826857907015555,8.8,0.0,0.0
0.0,17.74671410753198,9.0,0.0,0.0
7082.831163810976,20.0,9.0,7082.831163810976,0.0
5576.405492864653,20.0,9.8,5576.405492864653,0.0
5641.518575249479,20.0,9.0,5641.518575249479,0.0
5665.512420194366,19.999999999999993,9.0,5665.512420194366,0.0
5698.880704254524,19.999999999999996,10.0,5698.880704254524,0.0
5768.988218275033,20.000000000000004,9.0,5768.988218275033,0.0
5691.675509263604,20.0,9.0,5691.675509263604,0.0
5433.426565964656,20.0,10.6,5433.426565964656,0.0
5455.0089633846455,20.0,9.0,5455.0089633846455,0.0
5157.650723284237,20.0,11.0,5157.650723284237,0.0
