Q_HC,T_op,T_ext,Q_H,Q_C
6265.13358459072,20.0,9.2,6265.13358459072,0.0
5449.900536809275,19.999999999999996,9.4,5449.900536809275,0.0
5265.239402160067,19.999999999999993,9.8,5265.239402160067,0.0
5187.7401198641155,20.0,10.0,5187.7401198641155,0.0
5148.990478716138,19.999999999999993,10.1,5148.990478716138,0.0
5251.208569393179,20.000000000000007,9.9,5251.208569393179,0.0
5088.111299173433,20.0,9.6,5088.111299173433,0.0
5134.9583310209155,19.999999999999996,9.3,5134.9583310209155,0.0
4814.308872017173,20.0,10.0,4814.308872017173,0.0
4309.315057531914,20.0,10.4,4309.315057531914,0.0
1008.1793390747038,20.00000000000001,12.0,1008.1793390747038,0.0
535.0172699687774,20.0,13.0,535.0172699687774,0.0
0.0,21.310477809085704,16.2,0.0,0.0
0.0,21.70329222275582,15.0,0.0,0.0
0.0,22.026009021879553,15.0,0.0,0.0
0.0,22.95125451121593,17.6,0.0,0.0
496.02543846255764,19.999999999999993,15.0,496.02543846255764,0.0
4858.006073429823,20.0,15.0,4858.006073429823,0.0
1547.0111038648674,20.0,16.0,1547.0111038648674,0.0
3491.566661590077,19.999999999999993,14.0,3491.566661590077,0.0
2850.876838598182,19.999999999999996,15.0,2850.876838598182,0.0
2525.0539241613155,20.0,15.8,2525.0539241613155,0.0
3997.2186534759558,19.999999999999993,13.0,3997.2186534759558,0.0
4345.893973340735,20.0,12.0,4345.893973340735,0.0
2964.105986105457,19.999999999999996,14.8,2964.105986105457,0.0
3975.813268662664,20.0,13.0,3975.813268662664,0.0
3886.825558490761,20.0,13.0,3886.825558490761,0.0
3789.5512294899436,20.0,13.2,3789.5512294899436,0.0
4383.084726847291,20.0,12.0,4383.084726847291,0.0
4323.75958673269,20.0,12.0,4323.75958673269,0.0
3862.5352169014827,20.0,12.6,3862.5352169014827,0.0
4529.947304072998,19.999999999999993,11.0,4529.947304072998,0.0
4455.221128022023,19.999999999999993,11.0,4455.221128022023,0.0
3771.5817494629327,20.0,12.2,3771.5817494629327,0.0
3820.0801087341642,20.0,11.0,3820.0801087341642,0.0
3089.2376251225055,20.0,11.0,3089.2376251225055,0.0
2001.6792466419754,20.0,12.6,2001.6792466419754,0.0
2124.33409776202,20.0,11.0,2124.33409776202,0.0
1696.4136963324381,20.0,11.0,1696.4136963324381,0.0
838.3975883147199,20.0,13.0,838.3975883147199,0.0
