Q_HC,T_op,T_ext,Q_H,Q_C
10477.112030326194,20.0,0.54,10477.112030326194,0.0
9262.931520084621,19.999999999999996,0.68,9262.931520084621,0.0
9201.760756130758,20.0,0.82,9201.760756130758,0.0
9145.453708626925,20.000000000000007,0.95,9145.453708626925,0.0
9083.788568505426,19.999999999999996,1.09,9083.788568505426,0.0
9022.617804551563,19.999999999999996,1.23,9022.617804551563,0.0
8306.460991045016,20.000000000000004,1.37,8306.460991045016,0.0
8180.0826295718825,20.00000000000001,1.51,8180.0826295718825,0.0
7783.667473112619,20.000000000000007,1.65,7783.667473112619,0.0
6419.853105720046,19.999999999999996,1.77,6419.853105720046,0.0
6527.1751450545635,19.999999999999996,2.34,6527.1751450545635,0.0
6509.369976581789,19.999999999999993,2.61,6509.369976581789,0.0
6264.009575213221,19.999999999999996,2.67,6264.009575213221,0.0
6453.653877315706,19.999999999999993,2.47,6453.653877315706,0.0
6763.62535321391,20.0,2.36,6763.62535321391,0.0
6476.557148133247,20.0,1.83,6476.557148133247,0.0
8343.777040465038,20.0,1.68,8343.777040465038,0.0
8151.095121519073,20.0,1.61,8151.095121519073,0.0
8174.165083738748,20.000000000000004,1.56,8174.165083738748,0.0
8567.934339111383,20.0,1.48,8567.934339111383,0.0
8592.583880559461,20.0,1.44,8592.583880559461,0.0
8651.586212208817,20.0,1.31,8651.586212208817,0.0
9015.189281190445,19.999999999999996,1.21,9015.189281190445,0.0
9006.110804858936,20.000000000000007,1.22,9006.110804858936,0.0
9036.09541656493,20.000000000000007,1.22,9036.09541656493,0.0
9053.36327698085,20.000000000000007,1.18,9053.36327698085,0.0
9046.522055860318,20.0,1.19,9046.522055860318,0.0
9173.473059729005,20.000000000000004,0.93,9173.473059729005,0.0
9253.029891921617,19.999999999999993,0.74,9253.029891921617,0.0
9355.502223087755,19.999999999999996,0.51,9355.502223087755,0.0
8815.917888739985,20.0,0.14,8815.917888739985,0.0
9036.55696441044,19.999999999999993,-0.56,9036.55696441044,0.0
9130.487415088128,19.999999999999993,-1.38,9130.487415088128,0.0
6985.246806656049,20.000000000000007,1.21,6985.246806656049,0.0
5733.861733258617,20.0,2.66,5733.861733258617,0.0
5569.14260405594,19.999999999999993,4.32,5569.14260405594,0.0
3086.3525592404335,20.000000000000007,5.16,3086.3525592404335,0.0
3044.2526767833406,19.999999999999996,5.9,3044.2526767833406,0.0
3218.7255251677825,20.0,6.34,3218.7255251677825,0.0
4244.26948319951,20.0,5.82,4244.26948319951,0.0
7438.66492390615,20.0,4.47,7438.66492390615,0.0
7659.779068948531,20.000000000000004,3.03,7659.779068948531,0.0
8244.366499541025,20.000000000000004,1.56,8244.366499541025,0.0
9243.40329526964,20.0,0.04,9243.40329526964,0.0
9736.299682178811,20.000000000000004,-1.15,9736.299682178811,0.0
10165.307608790574,19.999999999999996,-2.19,10165.307608790574,0.0
10700.09730643851,20.0,-2.61,10700.09730643851,0.0
10898.929749444991,19.999999999999996,-3.06,10898.929749444991,0.0
10896.445624540305,20.000000000000007,-3.04,10896.445624540305,0.0
10827.155341190728,20.0,-2.9,10827.155341190728,0.0
10926.487220088213,20.0,-3.09,10926.487220088213,0.0
10926.821505803478,19.999999999999993,-3.11,10926.821505803478,0.0
