Q_HC,T_op,T_ext,Q_H,Q_C
0.0,19.970019903773455,9.2,0.0,0.0
0.0,19.970981205386977,9.4,0.0,0.0
0.0,19.965009967236078,9.8,0.0,0.0
0.0,19.95504074257594,10.0,0.0,0.0
0.0,19.943354017498564,10.1,0.0,0.0
969.4236155679589,20.0,9.9,969.4236155679589,0.0
1097.2753802673337,20.0,9.6,1097.2753802673337,0.0
1125.1463697688118,20.000000000000004,9.3,1125.1463697688118,0.0
1075.139257192803,19.999999999999996,10.0,1075.139257192803,0.0
1174.7420195190966,20.0,10.4,1174.7420195190966,0.0
950.529728591288,20.0,12.0,950.529728591288,0.0
845.0255705755457,20.0,13.0,845.0255705755457,0.0
481.19022112571366,20.0,16.2,481.19022112571366,0.0
576.6339871708707,19.999999999999996,15.0,576.6339871708707,0.0
554.7161914046633,20.0,15.0,554.7161914046633,0.0
280.81456915693263,20.0,17.6,280.81456915693263,0.0
526.9328658191265,20.000000000000004,15.0,526.9328658191265,0.0
559.0144051714334,19.999999999999996,15.0,559.0144051714334,0.0
402.1431229719458,20.0,16.0,402.1431229719458,0.0
556.2345812637714,20.000000000000004,14.0,556.2345812637714,0.0
448.9814364424941,20.0,15.0,448.9814364424941,0.0
372.0667447596947,20.0,15.8,372.0667447596947,0.0
671.8358048306021,20.0,13.0,671.8358048306021,0.0
0.0,19.938874724656472,12.0,0.0,0.0
0.0,19.945877445648833,14.8,0.0,0.0
0.0,19.917743797822006,13.0,0.0,0.0
0.0,19.906919472670673,13.0,0.0,0.0
0.0,19.9002945728819,13.2,0.0,0.0
0.0,19.87743279691629,12.0,0.0,0.0
978.4964417207508,20.000000000000007,12.0,978.4964417207508,0.0
953.3181669290391,20.0,12.6,953.3181669290391,0.0
1113.9677392392198,20.0,11.0,1113.9677392392198,0.0
1127.0027156339213,20.0,11.0,1127.0027156339213,0.0
1134.4511483528095,20.0,12.2,1134.4511483528095,0.0
1276.6134566897401,20.0,11.0,1276.6134566897401,0.0
1257.8780764445667,20.0,11.0,1257.8780764445667,0.0
