Q_HC,T_op,T_ext,Q_H,Q_C
0.0,20.060994954154285,9.2,0.0,0.0
0.0,20.07334019988747,9.4,0.0,0.0
0.0,20.070277918804344,9.8,0.0,0.0
0.0,20.062664847247653,10.0,0.0,0.0
0.0,20.053656771873094,10.1,0.0,0.0
658.5481575697232,20.0,9.9,658.5481575697232,0.0
857.542824438351,20.0,9.6,857.542824438351,0.0
878.9150840800161,20.0,9.3,878.9150840800161,0.0
843.6133362419907,19.999999999999996,10.0,843.6133362419907,0.0
949.8456775579235,20.0,10.4,949.8456775579235,0.0
753.5773399146485,19.999999999999996,12.0,753.5773399146485,0.0
664.9554443149901,20.0,13.0,664.9554443149901,0.0
363.59961110254955,19.999999999999996,16.2,363.59961110254955,0.0
424.67135905559934,20.0,15.0,424.67135905559934,0.0
406.78344895086934,20.000000000000004,15.0,406.78344895086934,0.0
187.53596729599485,20.0,17.6,187.53596729599485,0.0
373.4184291849801,20.0,15.0,373.4184291849801,0.0
416.4125371341297,20.000000000000004,15.0,416.4125371341297,0.0
276.87134791978724,20.0,16.0,276.87134791978724,0.0
386.9123735454754,19.999999999999996,14.0,386.9123735454754,0.0
306.43855969271056,20.000000000000004,15.0,306.43855969271056,0.0
243.1928166171037,20.0,15.8,243.1928166171037,0.0
482.74976328736346,20.0,13.0,482.74976328736346,0.0
0.0,20.012673249959725,12.0,0.0,0.0
0.0,20.01824264568372,14.8,0.0,0.0
0.0,20.00801810649785,13.0,0.0,0.0
0.0,20.0016377387767,13.0,0.0,0.0
0.0,19.99648765958137,13.2,0.0,0.0
0.0,19.98513595642764,12.0,0.0,0.0
676.8259170077129,20.0,12.0,676.8259170077129,0.0
740.4397341544847,19.999999999999996,12.6,740.4397341544847,0.0
866.3790500394672,20.0,11.0,866.3790500394672,0.0
884.7042648797009,20.0,11.0,884.7042648797009,0.0
918.5822347013877,19.999999999999996,12.2,918.5822347013877,0.0
1032.1753563132731,20.0,11.0,1032.1753563132731,0.0
1016.5719242747984,20.0,11.0,1016.5719242747984,0.0
875.3049116803694,20.0,12.6,875.3049116803694,0.0
984.1621949391086,20.0,11.0,984.1621949391086,0.0
978.3778350787607,20.0,11.0,978.3778350787607,0.0
821.936620988988,20.0,13.0,821.936620988988,0.0
764.770072666523,20.0,13.0,764.770072666523,0.0
767.9175483185356,20.000000000000004,13.0,767.9175483185356,0.0
712.6314405218056,20.0,13.6,712.6314405218056,0.0
876.7441318755224,20.0,11.0,876.7441318755224,0.0
889.252061381271,20.0,11.0,889.252061381271,0.0
921.5801867993786,19.999999999999996,10.8,921.5801867993786,0.0
1082.725480645004,20.0,9.0,1082.725480645004,0.0
0.0,19.90451160735024,9.0,0.0,0.0
0.0,19.86781283117567,9.8,0.0,0.0
0.0,19.840294868261676,8.0,0.0,0.0
0.0,19.8223004849993,8.0,0.0,0.0
0.0,19.813668020884776,9.6,0.0,0.0
0.0,19.788894559599164,7.0,0.0,0.0
1609.0548820432182,20.000000000000004,7.0,1609.0548820432182,0.0
1438.6079761486603,20.000000000000004,8.8,1438.6079761486603,0.0
1587.033214099262,19.999999999999993,7.0,1587.033214099262,0.0
1609.3295003205274,20.0,7.0,1609.3295003205274,0.0
1609.2788234317807,19.999999999999996,8.6,1609.2788234317807,0.0
1700.6403113256251,19.999999999999996,7.0,1700.6403113256251,0.0
1344.043851998545,20.0,11.0,1344.043851998545,0.0
1110.8880013670337,20.0,13.4,1110.8880013670337,0.0
1088.3546947236002,20.0,13.0,1088.3546947236002,0.0
1068.761647533425,20.000000000000004,13.0,1068.761647533425,0.0
929.2989239134275,20.000000000000004,14.6,929.2989239134275,0.0
1039.1168609382948,19.999999999999996,13.0,1039.1168609382948,0.0
1208.445103890299,20.0,12.0,1208.445103890299,0.0
1078.2247763559383,19.999999999999993,12.6,1078.2247763559383,0.0
1148.0342357441377,19.999999999999996,11.0,1148.0342357441377,0.0
1156.0262682912007,19.999999999999996,11.0,1156.0262682912007,0.0
1147.5145556762754,20.0,11.2,1147.5145556762754,0.0
1249.4004949786101,20.000000000000004,10.0,1249.4004949786101,0.0
0.0,19.818312838000104,10.0,0.0,0.0
0.0,19.757211489833793,10.2,0.0,0.0
0.0,19.721575028310234,8.0,0.0,0.0
0.0,19.700982768909633,8.0,0.0,0.0
0.0,19.687241274834868,8.8,0.0,0.0
0.0,19.673136107836655,9.0,0.0,0.0
1759.5172009238395,19.999999999999996,9.0,1759.5172009238395,0.0
1585.9799877556522,20.0,9.8,1585.9799877556522,0.0
1636.7223892560621,19.999999999999993,9.0,1636.7223892560621,0.0
1648.8567233122062,20.0,9.0,1648.8567233122062,0.0
1692.8954784519988,19.999999999999996,10.0,1692.8954784519988,0.0
1770.5243297271757,20.0,9.0,1770.5243297271757,0.0
1733.6022335407222,20.0,9.0,1733.6022335407222,0.0
1570.6135191925712,20.0,10.6,1570.6135191925712,0.0
1662.0255498952417,20.0,9.0,1662.0255498952417,0.0
1472.573152986952,20.0,11.0,1472.573152986952,0.0
1538.4281975395158,19.999999999999996,10.4,1538.4281975395158,0.0
1513.1048767301095,20.0,10.0,1513.1048767301095,0.0
1515.1865228112704,20.0,10.0,1515.1865228112704,0.0
1549.2109960042671,20.0,9.6,1549.2109960042671,0.0
1537.4251918837208,20.0,9.0,1537.4251918837208,0.0
1547.9745424206578,20.0,9.0,1547.9745424206578,0.0
1541.0699992277932,19.999999999999993,9.2,1541.0699992277932,0.0
1644.533373661828,20.000000000000004,8.0,1644.533373661828,0.0
0.0,19.723250991880434,7.0,0.0,0.0
0.0,19.641350684814014,8.8,0.0,0.0
0.0,19.604119342865445,8.0,0.0,0.0
0.0,19.57733163772466,7.0,0.0,0.0
0.0,19.561548019004817,8.0,0.0,0.0
0.0,19.544394057270708,8.0,0.0,0.0
2276.4835580599884,20.0,7.0,2276.4835580599884,0.0
1995.811647484095,20.0,8.0,1995.811647484095,0.0
2064.2344246542925,20.000000000000004,7.0,2064.2344246542925,0.0
2076.6179068224073,20.0,7.0,2076.6179068224073,0.0
2067.6642074729466,19.999999999999996,8.6,2067.6642074729466,0.0
2186.6061529656185,20.0,7.0,2186.6061529656185,0.0
2066.933341515199,20.0,8.0,2066.933341515199,0.0
1902.5762267260104,20.0,9.6,1902.5762267260104,0.0
1917.1551959075289,20.0,9.0,1917.1551959075289,0.0
1816.2159904329858,20.000000000000004,10.0,1816.2159904329858,0.0
1760.587298423732,20.0,10.8,1760.587298423732,0.0
1850.0804119250595,20.000000000000007,9.0,1850.0804119250595,0.0
1841.7999432399808,20.000000000000004,9.0,1841.7999432399808,0.0
1761.2258076888018,20.0,9.8,1761.2258076888018,0.0
1762.4990105329575,20.0,9.0,1762.4990105329575,0.0
1767.6794071716886,20.0,9.0,1767.6794071716886,0.0
1826.5214800064518,20.000000000000007,8.4,1826.5214800064518,0.0
1856.0518110351993,19.999999999999996,8.0,1856.0518110351993,0.0
0.0,19.646984091278092,7.0,0.0,0.0
0.0,19.537480315248526,7.2,0.0,0.0
0.0,19.494146787103425,7.0,0.0,0.0
0.0,19.451463597798146,7.0,0.0,0.0
0.0,19.430772528450905,8.2,0.0,0.0
0.0,19.40539201808177,7.0,0.0,0.0
1610.4221828374943,20.0,7.0,1610.4221828374943,0.0
1189.0027131537972,19.999999999999996,8.4,1189.0027131537972,0.0
2127.1652250068914,20.0,8.0,2127.1652250068914,0.0
2129.309973106523,20.0,8.0,2129.309973106523,0.0
1968.2443728750868,20.0,10.2,1968.2443728750868,0.0
2149.7368210109585,19.999999999999993,8.0,2149.7368210109585,0.0
