Q_HC,T_op,T_ext,Q_H,Q_C
0.0,19.974589165003714,9.2,0.0,0.0
0.0,19.98056174765422,9.4,0.0,0.0
0.0,19.979608212054686,9.8,0.0,0.0
0.0,19.974638246079834,10.0,0.0,0.0
0.0,19.967951135723048,10.1,0.0,0.0
889.0416711416558,20.0,9.9,889.0416711416558,0.0
1024.8278517517695,20.0,9.6,1024.8278517517695,0.0
1043.4842305857876,20.0,9.3,1043.4842305857876,0.0
985.2014853328205,20.000000000000007,10.0,985.2014853328205,0.0
1077.1336847607054,20.0,10.4,1077.1336847607054,0.0
850.3860235213112,19.999999999999996,12.0,850.3860235213112,0.0
744.3868745230797,20.0,13.0,744.3868745230797,0.0
383.38495024995615,19.999999999999996,16.2,383.38495024995615,0.0
481.55233753477256,20.0,15.0,481.55233753477256,0.0
463.4200002434632,19.999999999999993,15.0,463.4200002434632,0.0
196.1942343405897,20.0,17.6,196.1942343405897,0.0
442.1618121759629,20.0,15.0,442.1618121759629,0.0
470.608608466569,19.999999999999993,15.0,470.608608466569,0.0
312.7165775292009,19.999999999999996,16.0,312.7165775292009,0.0
462.0362178757137,20.0,14.0,462.0362178757137,0.0
351.6833016625794,20.0,15.0,351.6833016625794,0.0
272.4312795593817,20.000000000000004,15.8,272.4312795593817,0.0
566.8185719459707,20.0,13.0,566.8185719459707,0.0
0.0,19.97951308998663,12.0,0.0,0.0
0.0,19.9990327156466,14.8,0.0,0.0
0.0,19.977085887779793,13.0,0.0,0.0
0.0,19.9707308319659,13.0,0.0,0.0
0.0,19.9680653007742,13.2,0.0,0.0
0.0,19.949521167128133,12.0,0.0,0.0
771.8954387396747,20.000000000000004,12.0,771.8954387396747,0.0
792.7090709423321,20.0,12.6,792.7090709423321,0.0
947.7059997107057,20.0,11.0,947.7059997107057,0.0
955.4048642482511,20.0,11.0,955.4048642482511,0.0
958.8891399751642,20.0,12.2,958.8891399751642,0.0
1096.0562370560283,20.0,11.0,1096.0562370560283,0.0
1073.0856170980796,20.0,11.0,1073.0856170980796,0.0
896.7708113298806,19.999999999999993,12.6,896.7708113298806,0.0
1040.4777346752123,20.0,11.0,1040.4777346752123,0.0
1027.3327155472587,19.999999999999996,11.0,1027.3327155472587,0.0
829.4642840293611,20.000000000000004,13.0,829.4642840293611,0.0
781.4509027482284,20.0,13.0,781.4509027482284,0.0
786.0471045994836,20.000000000000004,13.0,786.0471045994836,0.0
716.6730052919302,20.0,13.6,716.6730052919302,0.0
930.5551113271441,20.0,11.0,930.5551113271441,0.0
930.0846360218321,20.0,11.0,930.0846360218321,0.0
961.3788082098399,20.0,10.8,961.3788082098399,0.0
1152.3554524745748,20.0,9.0,1152.3554524745748,0.0
0.0,19.883988006237466,9.0,0.0,0.0
0.0,19.849691684196635,9.8,0.0,0.0
0.0,19.810655456398873,8.0,0.0,0.0
0.0,19.793676252456645,8.0,0.0,0.0
0.0,19.798824524476842,9.6,0.0,0.0
0.0,19.75893214722263,7.0,0.0,0.0
1690.4863667122634,20.000000000000004,7.0,1690.4863667122634,0.0
1454.9809970081224,20.000000000000004,8.8,1454.9809970081224,0.0
1638.6727822298424,19.999999999999996,7.0,1638.6727822298424,0.0
1648.2576157844442,20.0,7.0,1648.2576157844442,0.0
1608.6899109199583,20.0,8.6,1608.6899109199583,0.0
1736.675739733473,20.000000000000007,7.0,1736.675739733473,0.0
1293.2673570971212,20.0,11.0,1293.2673570971212,0.0
1026.3449460529494,20.0,13.4,1026.3449460529494,0.0
1023.4394550226353,20.0,13.0,1023.4394550226353,0.0
1006.1927007459111,20.0,13.0,1006.1927007459111,0.0
837.8457163649754,20.0,14.6,837.8457163649754,0.0
985.074986508117,20.0,13.0,985.074986508117,0.0
1161.1904898032285,20.0,12.0,1161.1904898032285,0.0
1019.4909443752597,20.0,12.6,1019.4909443752597,0.0
1119.7433007967763,20.000000000000004,11.0,1119.7433007967763,0.0
1119.0179703194483,20.0,11.0,1119.0179703194483,0.0
1102.8876692614278,20.0,11.2,1102.8876692614278,0.0
1225.5867603259078,20.0,10.0,1225.5867603259078,0.0
0.0,19.831060273109692,10.0,0.0,0.0
0.0,19.776821752251493,10.2,0.0,0.0
0.0,19.728872851067372,8.0,0.0,0.0
0.0,19.709831187163296,8.0,0.0,0.0
0.0,19.704520671795684,8.8,0.0,0.0
0.0,19.69533803662305,9.0,0.0,0.0
1695.919214392529,20.0,9.0,1695.919214392529,0.0
1515.8419454329014,20.0,9.8,1515.8419454329014,0.0
1581.4618486200065,20.000000000000004,9.0,1581.4618486200065,0.0
1586.8606887099174,19.999999999999993,9.0,1586.8606887099174,0.0
1605.931821126207,20.0,10.0,1605.931821126207,0.0
1704.8114548741455,20.0,9.0,1704.8114548741455,0.0
1664.1418764721498,20.0,9.0,1664.1418764721498,0.0
1469.5067567650226,19.999999999999996,10.6,1469.5067567650226,0.0
1599.2289351051447,20.0,9.0,1599.2289351051447,0.0
1366.6308551597024,20.0,11.0,1366.6308551597024,0.0
1452.3050384159565,19.999999999999993,10.4,1452.3050384159565,0.0
1438.6404756998077,20.0,10.0,1438.6404756998077,0.0
1441.0758448958013,20.000000000000004,10.0,1441.0758448958013,0.0
1480.5319216336868,20.0,9.6,1480.5319216336868,0.0
1475.9939112892625,20.0,9.0,1475.9939112892625,0.0
1480.7124289583244,20.0,9.0,1480.7124289583244,0.0
