Q_HC,T_op,T_ext,Q_H,Q_C
5707.59775497797,20.0,9.2,5707.59775497797,0.0
5046.66256984395,19.999999999999996,9.4,5046.66256984395,0.0
4867.780395500524,20.0,9.8,4867.780395500524,0.0
4790.99552752267,20.0,10.0,4790.99552752267,0.0
4752.603093533749,19.999999999999996,10.1,4752.603093533749,0.0
4850.481660168041,19.999999999999996,9.9,4850.481660168041,0.0
4706.668735445363,20.0,9.6,4706.668735445363,0.0
4746.965988259478,20.000000000000007,9.3,4746.965988259478,0.0
4440.962850264937,20.0,10.0,4440.962850264937,0.0
3930.8555470570063,20.0,10.4,3930.8555470570063,0.0
515.6987632260195,20.0,12.0,515.6987632260195,0.0
0.0,20.33122852560622,13.0,0.0,0.0
0.0,22.69740228050361,16.2,0.0,0.0
0.0,23.35148809514039,15.0,0.0,0.0
0.0,23.395210847033614,15.0,0.0,0.0
0.0,23.712263002796547,17.6,0.0,0.0
42.10185631006992,19.999999999999993,15.0,42.10185631006992,0.0
4419.249408717849,20.0,15.0,4419.249408717849,0.0
1349.632235180332,20.0,16.0,1349.632235180332,0.0
3109.574605579441,20.00000000000001,14.0,3109.574605579441,0.0
2518.08040369445,20.0,15.0,2518.08040369445,0.0
2199.212366973269,20.0,15.8,2199.212366973269,0.0
3610.069426659146,19.999999999999996,13.0,3610.069426659146,0.0
3961.035140682751,19.999999999999996,12.0,3961.035140682751,0.0
2638.345831892985,20.0,14.8,2638.345831892985,0.0
3597.0351105420764,19.999999999999993,13.0,3597.0351105420764,0.0
3521.0977953788697,20.0,13.0,3521.0977953788697,0.0
3427.4379684758596,20.0,13.2,3427.4379684758596,0.0
3997.8344093564656,19.999999999999993,12.0,3997.8344093564656,0.0
3947.2095325809973,20.0,12.0,3947.2095325809973,0.0
3517.7136810505567,20.000000000000004,12.6,3517.7136810505567,0.0
4149.5839799054265,20.000000000000007,11.0,4149.5839799054265,0.0
4086.831896112899,20.000000000000007,11.0,4086.831896112899,0.0
3435.348654647352,20.0,12.2,3435.348654647352,0.0
