Q_HC,T_op,T_ext,Q_H,Q_C
7626.731267062444,19.999999999999996,9.2,7626.731267062444,0.0
6694.977079283216,19.999999999999996,9.4,6694.977079283216,0.0
6454.831195722793,20.0,9.8,6454.831195722793,0.0
6353.493714468079,20.000000000000007,10.0,6353.493714468079,0.0
6302.824973840719,20.0,10.1,6302.824973840719,0.0
6435.388222637931,20.000000000000004,9.9,6435.388222637931,0.0
6304.383240469741,20.0,9.6,6304.383240469741,0.0
6390.229186679777,20.0,9.3,6390.229186679777,0.0
5965.085163272096,20.0,10.0,5965.085163272096,0.0
5363.034933380621,20.0,10.4,5363.034933380621,0.0
1302.3245455919455,20.0,12.0,1302.3245455919455,0.0
204.41985021570795,20.000000000000004,13.0,204.41985021570795,0.0
0.0,22.11825173086672,16.2,0.0,0.0
0.0,22.60196036502518,15.0,0.0,0.0
0.0,22.763162877967247,15.0,0.0,0.0
0.0,23.579003877174138,17.6,0.0,0.0
320.06456688582443,20.0,15.0,320.06456688582443,0.0
5139.024983471132,20.000000000000007,15.0,5139.024983471132,0.0
1852.6422472631414,20.000000000000004,16.0,1852.6422472631414,0.0
4164.4890010463805,19.999999999999996,14.0,4164.4890010463805,0.0
3344.6821692637386,20.000000000000004,15.0,3344.6821692637386,0.0
2916.1520757800745,19.999999999999996,15.8,2916.1520757800745,0.0
4805.401928487998,19.999999999999993,13.0,4805.401928487998,0.0
5262.868731584593,20.0,12.0,5262.868731584593,0.0
3461.474679399014,20.000000000000007,14.8,3461.474679399014,0.0
4770.979960562358,20.0,13.0,4770.979960562358,0.0
4658.567197409388,20.0,13.0,4658.567197409388,0.0
4532.249102120676,19.999999999999993,13.2,4532.249102120676,0.0
5302.6479808699305,20.0,12.0,5302.6479808699305,0.0
5227.706138767951,20.0,12.0,5227.706138767951,0.0
4674.73584031315,20.0,12.6,4674.73584031315,0.0
5579.799605094868,20.000000000000007,11.0,5579.799605094868,0.0
5484.320898304882,20.0,11.0,5484.320898304882,0.0
4611.846729249791,20.000000000000004,12.2,4611.846729249791,0.0
4748.1026941866785,20.0,11.0,4748.1026941866785,0.0
3872.5851763109595,19.999999999999996,11.0,3872.5851763109595,0.0
2456.3240555792668,20.000000000000004,12.6,2456.3240555792668,0.0
