Q_HC,T_op,T_ext,Q_H,Q_C
6698.132827877802,19.999999999999996,9.2,6698.132827877802,0.0
5890.500651184235,19.999999999999996,9.4,5890.500651184235,0.0
5697.150973650716,20.0,9.8,5697.150973650716,0.0
5614.529069927871,19.999999999999993,10.0,5614.529069927871,0.0
5573.218118066458,20.0,10.1,5573.218118066458,0.0
5679.261580195829,19.999999999999993,9.9,5679.261580195829,0.0
5526.93313722677,19.999999999999996,9.6,5526.93313722677,0.0
5579.270574835355,19.999999999999996,9.3,5579.270574835355,0.0
5245.0707238517525,20.0,10.0,5245.0707238517525,0.0
4713.342716761372,20.0,10.4,4713.342716761372,0.0
1315.6078759986838,19.999999999999996,12.0,1315.6078759986838,0.0
508.44416310613343,20.000000000000004,13.0,508.44416310613343,0.0
0.0,21.539906172770955,16.2,0.0,0.0
0.0,21.702691350210813,15.0,0.0,0.0
0.0,21.53230555031942,15.0,0.0,0.0
0.0,21.858596633650578,17.6,0.0,0.0
1426.9167728325165,20.0,15.0,1426.9167728325165,0.0
4987.173928156787,20.000000000000007,15.0,4987.173928156787,0.0
1977.1649728066348,19.999999999999993,16.0,1977.1649728066348,0.0
3801.612016357713,19.999999999999996,14.0,3801.612016357713,0.0
3164.2149766624707,20.000000000000007,15.0,3164.2149766624707,0.0
2819.3677718940494,19.999999999999993,15.8,2819.3677718940494,0.0
4346.706833120982,20.0,13.0,4346.706833120982,0.0
4723.098545395965,20.000000000000004,12.0,4723.098545395965,0.0
3287.2343774967626,19.999999999999993,14.8,3287.2343774967626,0.0
4328.357397272225,20.0,13.0,4328.357397272225,0.0
4244.039787008705,20.000000000000004,13.0,4244.039787008705,0.0
4142.680636560632,20.0,13.2,4142.680636560632,0.0
4760.204162611644,20.0,12.0,4760.204162611644,0.0
4703.992422435965,20.0,12.0,4703.992422435965,0.0
4233.787802789292,20.0,12.6,4233.787802789292,0.0
4931.274260085769,20.00000000000001,11.0,4931.274260085769,0.0
4860.865395852321,20.0,11.0,4860.865395852321,0.0
4150.095489922948,19.999999999999996,12.2,4150.095489922948,0.0
4172.249245993541,19.999999999999996,11.0,4172.249245993541,0.0
3381.7032444517727,20.000000000000007,11.0,3381.7032444517727,0.0
2210.5504264480364,20.0,12.6,2210.5504264480364,0.0
2304.290106663179,20.0,11.0,2304.290106663179,0.0
1880.2193093789897,20.0,11.0,1880.2193093789897,0.0
1126.82878767041,19.999999999999993,13.0,1126.82878767041,0.0
1703.5064803528721,20.0,13.0,1703.5064803528721,0.0
3526.156712680766,20.000000000000004,13.0,3526.156712680766,0.0
3318.3847534475694,20.000000000000007,13.6,3318.3847534475694,0.0
5155.199351882086,20.0,11.0,5155.199351882086,0.0
4982.137234130687,20.000000000000007,11.0,4982.137234130687,0.0
5080.059814526052,20.0,10.8,5080.059814526052,0.0
6139.674258016963,19.999999999999996,9.0,6139.674258016963,0.0
6056.113334864691,20.0,9.0,6056.113334864691,0.0
5680.683788259224,20.0,9.8,5680.683788259224,0.0
6628.120574408538,20.0,8.0,6628.120574408538,0.0
6543.802964145017,20.0,8.0,6543.802964145017,0.0
5732.929760560484,19.999999999999993,9.6,5732.929760560484,0.0
7125.547703286263,20.000000000000007,7.0,7125.547703286263,0.0
7003.755599572282,20.000000000000007,7.0,7003.755599572282,0.0
5762.158999734178,20.0,8.8,5762.158999734178,0.0
6608.62492252267,20.000000000000007,7.0,6608.62492252267,0.0
6528.847434926616,20.0,7.0,6528.847434926616,0.0
5394.865787389347,20.000000000000004,8.6,5394.865787389347,0.0
3671.5844974153824,20.0,7.0,3671.5844974153824,0.0
1264.7488578438386,19.999999999999996,11.0,1264.7488578438386,0.0
0.0,20.2243278971757,13.4,0.0,0.0
0.0,20.635765096251756,13.0,0.0,0.0
0.0,20.418929394742122,13.0,0.0,0.0
0.0,20.441523560726335,14.6,0.0,0.0
2758.1058835615727,20.000000000000007,13.0,2758.1058835615727,0.0
7660.021664762829,20.000000000000004,12.0,7660.021664762829,0.0
3477.263817311422,19.999999999999996,12.6,3477.263817311422,0.0
5085.108745784987,20.0,11.0,5085.108745784987,0.0
4982.137234130687,20.000000000000007,11.0,4982.137234130687,0.0
4884.214653735308,19.999999999999993,11.2,4884.214653735308,0.0
5651.615752501863,20.000000000000007,10.0,5651.615752501863,0.0
5596.160699437421,19.999999999999996,10.0,5596.160699437421,0.0
5524.808604176159,19.999999999999996,10.2,5524.808604176159,0.0
6646.857821133764,20.0,8.0,6646.857821133764,0.0
6543.802964145017,20.0,8.0,6543.802964145017,0.0
6138.36636235275,20.000000000000004,8.8,6138.36636235275,0.0
6074.4817053551415,20.0,9.0,6074.4817053551415,0.0
6083.850328717754,20.0,9.0,6083.850328717754,0.0
5392.006606778674,19.999999999999993,9.8,5392.006606778674,0.0
5727.7907861724625,20.000000000000007,9.0,5727.7907861724625,0.0
5694.856415389472,20.000000000000004,9.0,5694.856415389472,0.0
4968.7421209556605,20.0,10.0,4968.7421209556605,0.0
4436.127048118822,19.999999999999996,9.0,4436.127048118822,0.0
3060.90016248349,20.0,9.0,3060.90016248349,0.0
1515.7059986273473,19.999999999999993,10.6,1515.7059986273473,0.0
1578.445337005582,19.999999999999993,9.0,1578.445337005582,0.0
687.5645219302182,20.0,11.0,687.5645219302182,0.0
1700.5728740343875,20.0,10.4,1700.5728740343875,0.0
2660.4784700880814,20.000000000000007,10.0,2660.4784700880814,0.0
4806.594708775902,20.0,10.0,4806.594708775902,0.0
5096.7503598955345,20.0,9.6,5096.7503598955345,0.0
5939.454896715365,20.0,9.0,5939.454896715365,0.0
5867.6768044582595,20.0,9.0,5867.6768044582595,0.0
5769.754224062886,19.999999999999993,9.2,5769.754224062886,0.0
6571.5210233563885,19.999999999999996,8.0,6571.5210233563885,0.0
7022.861722532282,20.0,7.0,7022.861722532282,0.0
6093.793306873418,20.000000000000004,8.8,6093.793306873418,0.0
6581.277457595471,20.0,8.0,6581.277457595471,0.0
7050.59871638535,20.000000000000004,7.0,7050.59871638535,0.0
6496.959847331947,20.0,8.0,6496.959847331947,0.0
6543.802964145017,20.0,8.0,6543.802964145017,0.0
7050.59871638535,20.000000000000004,7.0,7050.59871638535,0.0
6133.229900999493,20.0,8.0,6133.229900999493,0.0
6571.150429072215,20.000000000000007,7.0,6571.150429072215,0.0
6528.847434926616,20.0,7.0,6528.847434926616,0.0
5460.055526191454,20.000000000000007,8.6,5460.055526191454,0.0
4899.1697739239435,20.0,7.0,4899.1697739239435,0.0
3293.2290096951997,19.999999999999996,8.0,3293.2290096951997,0.0
1884.5248089686947,20.0,9.6,1884.5248089686947,0.0
2109.4103525504597,20.0,9.0,2109.4103525504597,0.0
1777.3427349185718,20.0,10.0,1777.3427349185718,0.0
2107.8033357619765,20.0,10.8,2107.8033357619765,0.0
3180.3854647810563,19.99999999999999,9.0,3180.3854647810563,0.0
5163.172176818049,19.999999999999996,9.0,5163.172176818049,0.0
4974.615489488189,20.000000000000007,9.8,4974.615489488189,0.0
5948.834881441176,20.0,9.0,5948.834881441176,0.0
5867.6768044582595,20.0,9.0,5867.6768044582595,0.0
6161.444545644373,20.0,8.4,6161.444545644373,0.0
6534.046529905929,19.999999999999993,8.0,6534.046529905929,0.0
7022.861722532282,20.0,7.0,7022.861722532282,0.0
6904.6665104579515,20.0,7.2,6904.6665104579515,0.0
7013.124222934894,20.0,7.0,7013.124222934894,0.0
