Q_HC,T_op,T_ext,Q_H,Q_C
11086.984042279068,20.0,0.54,11086.984042279068,0.0
9904.098219118756,20.0,0.68,9904.098219118756,0.0
9839.70485015894,20.0,0.82,9839.70485015894,0.0
9780.379438721524,20.000000000000004,0.95,9780.379438721524,0.0
9715.517638593583,20.000000000000007,1.09,9715.517638593583,0.0
9651.124269633754,19.999999999999996,1.23,9651.124269633754,0.0
8938.195211224363,20.0,1.37,8938.195211224363,0.0
8807.054624534776,19.999999999999996,1.51,8807.054624534776,0.0
8373.515330657445,20.0,1.65,8373.515330657445,0.0
6948.205480441566,19.999999999999996,1.77,6948.205480441566,0.0
7051.449877027625,19.999999999999993,2.34,7051.449877027625,0.0
7037.213973426414,19.999999999999993,2.61,7037.213973426414,0.0
6756.235129823693,20.0,2.67,6756.235129823693,0.0
6960.500879569779,20.000000000000004,2.47,6960.500879569779,0.0
7302.077255003799,20.0,2.36,7302.077255003799,0.0
7265.414067739939,20.0,1.83,7265.414067739939,0.0
8941.464523827668,20.0,1.68,8941.464523827668,0.0
8775.192128088665,20.000000000000004,1.61,8775.192128088665,0.0
8799.645163908304,20.000000000000007,1.56,8799.645163908304,0.0
9190.83776223318,20.000000000000004,1.48,9190.83776223318,0.0
9216.890104969014,20.0,1.44,9216.890104969014,0.0
9278.666057553479,19.999999999999993,1.31,9278.666057553479,0.0
9643.071989413138,20.000000000000004,1.21,9643.071989413138,0.0
9634.076407320668,20.0,1.22,9634.076407320668,0.0
9664.5518936756,20.0,1.22,9664.5518936756,0.0
9682.55366243148,20.000000000000004,1.18,9682.55366243148,0.0
9675.611980236547,19.999999999999993,1.19,9675.611980236547,0.0
9807.847306987169,20.0,0.93,9807.847306987169,0.0
9891.959289541437,20.000000000000014,0.74,9891.959289541437,0.0
9999.622120362223,20.0,0.51,9999.622120362223,0.0
9474.989677814372,20.0,0.14,9474.989677814372,0.0
9709.5835478787,20.0,-0.56,9709.5835478787,0.0
9798.6688564707,20.0,-1.38,9798.6688564707,0.0
7561.201271846305,19.999999999999996,1.21,7561.201271846305,0.0
6207.0159338847925,20.000000000000007,2.66,6207.0159338847925,0.0
6032.6843019712815,20.0,4.32,6032.6843019712815,0.0
3515.797079217945,20.0,5.16,3515.797079217945,0.0
3746.133243263406,20.0,5.9,3746.133243263406,0.0
4209.3871306595365,20.0,6.34,4209.3871306595365,0.0
5445.192544056961,20.0,5.82,5445.192544056961,0.0
7890.731606916743,20.0,4.47,7890.731606916743,0.0
8247.233574251197,20.000000000000007,3.03,8247.233574251197,0.0
8866.162389782856,20.000000000000007,1.56,8866.162389782856,0.0
9895.880341079848,19.999999999999993,0.04,9895.880341079848,0.0
10417.533432878256,20.0,-1.15,10417.533432878256,0.0
10870.987541926632,20.000000000000007,-2.19,10870.987541926632,0.0
11415.080854125465,20.0,-2.61,11415.080854125465,0.0
11624.221520683368,20.000000000000004,-3.06,11624.221520683368,0.0
11623.01325825948,20.0,-3.04,11623.01325825948,0.0
