Q_HC,T_op,T_ext,Q_H,Q_C
0.0,19.97156571011178,9.2,0.0,0.0
0.0,19.885537247973694,9.4,0.0,0.0
0.0,19.787000838165014,9.8,0.0,0.0
0.0,19.688094756228544,10.0,0.0,0.0
0.0,19.591611899810538,10.1,0.0,0.0
2120.939146518616,20.0,9.9,2120.939146518616,0.0
2139.8756890856407,20.0,9.6,2139.8756890856407,0.0
2296.5245452243544,20.0,9.3,2296.5245452243544,0.0
2374.421319730749,20.0,10.0,2374.421319730749,0.0
2576.257671908867,19.999999999999996,10.4,2576.257671908867,0.0
2386.3082641186024,20.0,12.0,2386.3082641186024,0.0
2234.469722765739,20.0,13.0,2234.469722765739,0.0
1802.2612110473463,20.000000000000004,16.2,1802.2612110473463,0.0
1772.3784729719603,20.0,15.0,1772.3784729719603,0.0
1687.3315499205814,20.0,15.0,1687.3315499205814,0.0
1390.562645169253,20.0,17.6,1390.562645169253,0.0
1585.3524472625556,20.0,15.0,1585.3524472625556,0.0
1648.5305157865575,20.000000000000004,15.0,1648.5305157865575,0.0
1530.1305011095953,20.0,16.0,1530.1305011095953,0.0
1703.945264602877,19.999999999999996,14.0,1703.945264602877,0.0
1660.0205412557905,20.0,15.0,1660.0205412557905,0.0
1618.0876724256643,20.0,15.8,1618.0876724256643,0.0
1931.8438642108358,20.0,13.0,1931.8438642108358,0.0
0.0,19.442896072674237,12.0,0.0,0.0
0.0,19.27801928186352,14.8,0.0,0.0
0.0,19.185676045348515,13.0,0.0,0.0
0.0,19.12229339423239,13.0,0.0,0.0
0.0,19.06900923900809,13.2,0.0,0.0
0.0,19.004168224500653,12.0,0.0,0.0
3438.433492029253,20.000000000000004,12.0,3438.433492029253,0.0
2858.879411234688,20.000000000000004,12.6,2858.879411234688,0.0
3047.709594074938,20.0,11.0,3047.709594074938,0.0
3121.8546477851114,19.999999999999993,11.0,3121.8546477851114,0.0
3184.210706621883,20.0,12.2,3184.210706621883,0.0
3339.0220332485733,20.0,11.0,3339.0220332485733,0.0
3346.260036958072,20.0,11.0,3346.260036958072,0.0
3185.897046741833,20.0,12.6,3185.897046741833,0.0
3295.4005295159627,20.0,11.0,3295.4005295159627,0.0
3278.4926093077,20.0,11.0,3278.4926093077,0.0
3075.1709162176176,20.0,13.0,3075.1709162176176,0.0
2993.1902304789664,20.0,13.0,2993.1902304789664,0.0
3015.7152254851117,20.0,13.0,3015.7152254851117,0.0
2963.243769943149,20.0,13.6,2963.243769943149,0.0
3185.052951833548,20.0,11.0,3185.052951833548,0.0
3246.130182504659,20.0,11.0,3246.130182504659,0.0
3327.758142939072,20.0,10.8,3327.758142939072,0.0
3568.5276495079306,20.0,9.0,3568.5276495079306,0.0
0.0,18.954369181677897,9.0,0.0,0.0
0.0,18.628674165835086,9.8,0.0,0.0
0.0,18.46982136656944,8.0,0.0,0.0
0.0,18.364000343957507,8.0,0.0,0.0
0.0,18.29152553049854,9.6,0.0,0.0
0.0,18.190781195546975,7.0,0.0,0.0
6081.31239366339,20.0,7.0,6081.31239366339,0.0
4828.376224543213,20.0,8.8,4828.376224543213,0.0
5033.130611882916,19.999999999999993,7.0,5033.130611882916,0.0
5104.624682392229,20.0,7.0,5104.624682392229,0.0
5117.047790406714,20.0,8.6,5117.047790406714,0.0
5206.355857715675,20.0,7.0,5206.355857715675,0.0
4720.207341323578,20.0,11.0,4720.207341323578,0.0
4310.287868789907,19.999999999999996,13.4,4310.287868789907,0.0
4137.43186832906,20.0,13.0,4137.43186832906,0.0
3992.8032596416556,20.0,13.0,3992.8032596416556,0.0
3730.8897042137696,20.0,14.6,3730.8897042137696,0.0
3793.1440490391487,20.000000000000004,13.0,3793.1440490391487,0.0
3947.103043996055,20.0,12.0,3947.103043996055,0.0
3808.2192656048496,20.000000000000004,12.6,3808.2192656048496,0.0
3908.4066243865245,20.0,11.0,3908.4066243865245,0.0
3940.733832024476,20.0,11.0,3940.733832024476,0.0
3951.2377224212805,20.0,11.2,3951.2377224212805,0.0
4093.8227739771696,20.0,10.0,4093.8227739771696,0.0
0.0,18.749149130170256,10.0,0.0,0.0
0.0,18.373440306254267,10.2,0.0,0.0
0.0,18.2023004773324,8.0,0.0,0.0
0.0,18.095443318669286,8.0,0.0,0.0
0.0,18.015206191435116,8.8,0.0,0.0
0.0,17.94174951191386,9.0,0.0,0.0
6539.941421113393,20.0,9.0,6539.941421113393,0.0
5167.136873149978,20.0,9.8,5167.136873149978,0.0
5230.199134531295,20.0,9.0,5230.199134531295,0.0
5252.193278611765,20.0,9.0,5252.193278611765,0.0
5284.631739053515,20.0,10.0,5284.631739053515,0.0
5353.308669725391,20.0,9.0,5353.308669725391,0.0
5275.967817626758,19.999999999999996,9.0,5275.967817626758,0.0
5020.239588186746,20.0,10.6,5020.239588186746,0.0
5043.2109420393635,20.000000000000004,9.0,5043.2109420393635,0.0
4750.625206131333,20.0,11.0,4750.625206131333,0.0
4751.956973703955,20.000000000000004,10.4,4751.956973703955,0.0
4692.771743500511,19.999999999999993,10.0,4692.771743500511,0.0
4714.126461995408,20.0,10.0,4714.126461995408,0.0
4768.351464236473,20.0,9.6,4768.351464236473,0.0
4791.268926575043,20.0,9.0,4791.268926575043,0.0
4832.586432308754,20.0,9.0,4832.586432308754,0.0
4850.683110330887,20.0,9.2,4850.683110330887,0.0
5000.412531581844,20.0,8.0,5000.412531581844,0.0
0.0,18.45549907242983,7.0,0.0,0.0
0.0,18.00625514966216,8.8,0.0,0.0
0.0,17.82685884131046,8.0,0.0,0.0
0.0,17.710643602041937,7.0,0.0,0.0
0.0,17.628284952918147,8.0,0.0,0.0
0.0,17.5508984473729,8.0,0.0,0.0
7779.756544686302,20.0,7.0,7779.756544686302,0.0
6118.6410028863575,20.0,8.0,6118.6410028863575,0.0
6203.21762581231,20.0,7.0,6203.21762581231,0.0
6228.626123364588,20.0,7.0,6228.626123364588,0.0
6199.426410023273,20.0,8.6,6199.426410023273,0.0
6309.432481791097,20.0,7.0,6309.432481791097,0.0
6130.353697597941,19.999999999999993,8.0,6130.353697597941,0.0
5862.774572555404,20.0,9.6,5862.774572555404,0.0
5792.151255540067,20.000000000000004,9.0,5792.151255540067,0.0
5597.479823899769,20.0,10.0,5597.479823899769,0.0
5454.663970071065,19.999999999999996,10.8,5454.663970071065,0.0
5517.262321046405,20.0,9.0,5517.262321046405,0.0
5545.660038065903,20.0,9.0,5545.660038065903,0.0
5448.307280097421,20.0,9.8,5448.307280097421,0.0
5459.011100008099,19.999999999999996,9.0,5459.011100008099,0.0
5470.84124994106,20.0,9.0,5470.84124994106,0.0
5547.050769605056,19.999999999999993,8.4,5547.050769605056,0.0
5599.077592131984,20.000000000000004,8.0,5599.077592131984,0.0
0.0,18.24367983731142,7.0,0.0,0.0
0.0,17.724421005944897,7.2,0.0,0.0
0.0,17.526072180852925,7.0,0.0,0.0
0.0,17.39533706665352,7.0,0.0,0.0
0.0,17.313594402630464,8.2,0.0,0.0
0.0,17.225833934250073,7.0,0.0,0.0
7468.429168922131,20.0,7.0,7468.429168922131,0.0
5512.312425520329,20.0,8.4,5512.312425520329,0.0
6563.84774438034,20.0,8.0,6563.84774438034,0.0
6546.9681012459905,20.0,8.0,6546.9681012459905,0.0
6325.661163039453,20.0,10.2,6325.661163039453,0.0
6486.405321340371,20.0,8.0,6486.405321340371,0.0
6413.827931114518,20.0,8.0,6413.827931114518,0.0
6050.787627487039,20.000000000000004,10.8,6050.787627487039,0.0
6129.689078472787,20.0,9.0,6129.689078472787,0.0
5948.803816333051,19.999999999999996,10.0,5948.803816333051,0.0
5547.394328677093,20.0,13.2,5547.394328677093,0.0
5565.014240808333,20.0,12.0,5565.014240808333,0.0
5483.32235162475,20.0,12.0,5483.32235162475,0.0
5256.2527499999605,20.0,13.6,5256.2527499999605,0.0
5336.2259479026725,20.0,12.0,5336.2259479026725,0.0
5287.5374718712355,20.0,12.0,5287.5374718712355,0.0
4423.835781754208,20.000000000000004,13.8,4423.835781754208,0.0
4394.563685510532,20.0,12.0,4394.563685510532,0.0
0.0,18.346007722710375,13.0,0.0,0.0
0.0,17.930106290358143,16.4,0.0,0.0
0.0,17.805432644936936,15.0,0.0,0.0
0.0,17.746044081955446,15.0,0.0,0.0
0.0,17.72380893873945,15.4,0.0,0.0
0.0,17.680942908980875,13.0,0.0,0.0
6159.256150461619,19.999999999999996,13.0,6159.256150461619,0.0
4452.531991191388,20.0,14.6,4452.531991191388,0.0
5075.22528458935,20.0,13.0,5075.22528458935,0.0
5129.0046750966985,20.000000000000004,12.0,5129.0046750966985,0.0
5040.521666664199,20.0,12.8,5040.521666664199,0.0
5049.032667407594,20.0,12.0,5049.032667407594,0.0
4939.121299888424,20.0,12.0,4939.121299888424,0.0
4533.504597040455,20.0,14.8,4533.504597040455,0.0
4463.12214831381,20.0,14.0,4463.12214831381,0.0
4332.765556120843,20.0,14.0,4332.765556120843,0.0
4029.5486430390138,20.0,16.0,4029.5486430390138,0.0
3920.528144364843,20.0,16.0,3920.528144364843,0.0
3962.64272723248,20.0,15.0,3962.64272723248,0.0
3780.28753738913,20.0,16.2,3780.28753738913,0.0
3945.3658244911453,20.0,14.0,3945.3658244911453,0.0
4032.512538632947,20.0,13.0,4032.512538632947,0.0
3346.394972429656,20.0,14.0,3346.394972429656,0.0
3317.7805449143125,20.0,14.0,3317.7805449143125,0.0
0.0,18.725723181348144,13.0,0.0,0.0
0.0,18.375941342746657,14.6,0.0,0.0
0.0,18.24302176591862,13.0,0.0,0.0
0.0,18.15742105119989,13.0,0.0,0.0
0.0,18.123932511927443,15.0,0.0,0.0
0.0,18.071390980112525,13.0,0.0,0.0
5164.973577835827,20.0,13.0,5164.973577835827,0.0
3797.2902543311093,20.000000000000004,13.6,3797.2902543311093,0.0
4422.745351938871,20.0,13.0,4422.745351938871,0.0
4404.597919944079,20.0,13.0,4404.597919944079,0.0
