Q_HC,T_op,T_ext,Q_H,Q_C
8097.561168513504,20.0,9.2,8097.561168513504,0.0
7092.718964575645,20.0,9.4,7092.718964575645,0.0
6854.352162106635,20.0,9.8,6854.352162106635,0.0
6753.676444443225,20.000000000000004,10.0,6753.676444443225,0.0
6703.33858561151,19.999999999999993,10.1,6703.33858561151,0.0
6834.860442560081,20.000000000000007,9.9,6834.860442560081,0.0
6692.188577485579,19.999999999999996,9.6,6692.188577485579,0.0
6777.9778857418905,20.0,9.3,6777.9778857418905,0.0
6356.258570652131,20.000000000000004,10.0,6356.258570652131,0.0
5750.409545227558,20.0,10.4,5750.409545227558,0.0
1743.7574046559093,20.0,12.0,1743.7574046559093,0.0
648.7960845129629,20.000000000000007,13.0,648.7960845129629,0.0
0.0,21.57343846118065,16.2,0.0,0.0
0.0,21.82169556115381,15.0,0.0,0.0
0.0,21.88032186818686,15.0,0.0,0.0
0.0,22.626365137862678,17.6,0.0,0.0
1127.5729048882076,20.0,15.0,1127.5729048882076,0.0
5509.833336106284,20.000000000000004,15.0,5509.833336106284,0.0
2284.133937330081,20.0,16.0,2284.133937330081,0.0
4574.7130534967655,20.0,14.0,4574.7130534967655,0.0
3762.6117528957366,20.0,15.0,3762.6117528957366,0.0
3337.157782350368,20.000000000000004,15.8,3337.157782350368,0.0
5215.8647234777645,20.000000000000007,13.0,5215.8647234777645,0.0
5670.60940322049,20.000000000000004,12.0,5670.60940322049,0.0
3883.0961019467354,20.0,14.8,3883.0961019467354,0.0
5181.8484009217,19.999999999999993,13.0,5181.8484009217,0.0
5070.802299495173,19.999999999999993,13.0,5070.802299495173,0.0
4945.449670403646,20.0,13.2,4945.449670403646,0.0
5709.903900666894,19.999999999999993,12.0,5709.903900666894,0.0
5635.873166382545,19.999999999999996,12.0,5635.873166382545,0.0
5075.180431583352,20.000000000000007,12.6,5075.180431583352,0.0
5973.336293942853,20.000000000000004,11.0,5973.336293942853,0.0
5878.948133921676,20.0,11.0,5878.948133921676,0.0
5004.091375729361,20.0,12.2,5004.091375729361,0.0
5143.34543203607,20.0,11.0,5143.34543203607,0.0
4280.780839239712,20.0,11.0,4280.780839239712,0.0
2882.301934472152,19.999999999999993,12.6,2882.301934472152,0.0
3115.334384453608,20.000000000000004,11.0,3115.334384453608,0.0
2586.4951963378053,19.999999999999993,11.0,2586.4951963378053,0.0
1447.4716887469078,20.0,13.0,1447.4716887469078,0.0
1482.2870674416558,19.999999999999993,13.0,1482.2870674416558,0.0
3252.127662059244,19.999999999999996,13.0,3252.127662059244,0.0
3955.5744982800497,20.0,13.6,3955.5744982800497,0.0
6257.586735657319,20.0,11.0,6257.586735657319,0.0
6013.266162763161,20.0,11.0,6013.266162763161,0.0
6135.052725042077,20.0,10.8,6135.052725042077,0.0
7414.455912456948,20.000000000000007,9.0,7414.455912456948,0.0
7304.129725312302,20.0,9.0,7304.129725312302,0.0
6831.834993524164,20.0,9.8,6831.834993524164,0.0
8007.202735358551,20.000000000000007,8.0,8007.202735358551,0.0
7896.156633932017,20.0,8.0,7896.156633932017,0.0
6893.335601199753,19.999999999999993,9.6,6893.335601199753,0.0
8621.62742510215,19.999999999999996,7.0,8621.62742510215,0.0
8461.227500819385,19.999999999999996,7.0,8461.227500819385,0.0
6979.030817871698,20.0,8.8,6979.030817871698,0.0
8067.654876575539,20.000000000000004,7.0,8067.654876575539,0.0
7960.9282608403055,20.000000000000004,7.0,7960.9282608403055,0.0
6601.926564691669,20.0,8.6,6601.926564691669,0.0
4713.755542432524,20.0,7.0,4713.755542432524,0.0
1615.9707252388275,20.000000000000004,11.0,1615.9707252388275,0.0
0.0,20.076143006680816,13.4,0.0,0.0
0.0,20.482935392635515,13.0,0.0,0.0
0.0,20.398966600892187,13.0,0.0,0.0
0.0,20.517665181414,14.6,0.0,0.0
2910.592956947335,20.0,13.0,2910.592956947335,0.0
8556.06192950063,20.0,12.0,8556.06192950063,0.0
4143.377242080864,20.0,12.6,4143.377242080864,0.0
6164.773440227842,20.0,11.0,6164.773440227842,0.0
6013.266162763161,20.0,11.0,6013.266162763161,0.0
5891.479600484248,20.0,11.2,5891.479600484248,0.0
6812.369678427403,20.000000000000007,10.0,6812.369678427403,0.0
6739.0588584249335,20.0,10.0,6739.0588584249335,0.0
6642.8220139114,20.000000000000004,10.2,6642.8220139114,0.0
8031.879646786659,19.999999999999993,8.0,8031.879646786659,0.0
7896.15663393202,20.0,8.0,7896.15663393202,0.0
7394.746117565892,20.0,8.8,7394.746117565892,0.0
7318.7473113305905,20.000000000000004,9.0,7318.7473113305905,0.0
7331.08576704465,20.000000000000004,9.0,7331.08576704465,0.0
6520.2280647123325,19.999999999999996,9.8,6520.2280647123325,0.0
6964.972534545935,20.0,9.0,6964.972534545935,0.0
6919.938197380992,20.0,9.0,6919.938197380992,0.0
6048.01136428899,19.999999999999996,10.0,6048.01136428899,0.0
5559.321371302822,20.0,9.0,5559.321371302822,0.0
4007.1319759187286,19.999999999999996,9.0,4007.1319759187286,0.0
2158.0668521263465,20.0,10.6,2158.0668521263465,0.0
2307.2792787087906,19.999999999999996,9.0,2307.2792787087906,0.0
979.467349347759,20.0,11.0,979.467349347759,0.0
2050.8174474869234,20.0,10.4,2050.8174474869234,0.0
2431.069008969646,20.000000000000007,10.0,2431.069008969646,0.0
4894.292247550626,20.000000000000014,10.0,4894.292247550626,0.0
6234.20026636045,19.999999999999996,9.6,6234.20026636045,0.0
7212.042352240677,20.00000000000001,9.0,7212.042352240677,0.0
7107.747228411728,20.0,9.0,7107.747228411728,0.0
6985.960666132818,20.0,9.2,6985.960666132818,0.0
7942.511412202142,20.0,8.0,7942.511412202142,0.0
8495.963737657334,20.000000000000004,7.0,8495.963737657334,0.0
7335.213581841242,19.999999999999996,8.8,7335.213581841242,0.0
7945.510456788254,20.0,8.0,7945.510456788254,0.0
8522.919779389678,19.999999999999996,7.0,8522.919779389678,0.0
7834.464355361722,19.999999999999993,8.0,7834.464355361722,0.0
7896.15663393202,20.0,8.0,7896.15663393202,0.0
8522.919779389678,19.999999999999996,7.0,8522.919779389678,0.0
7444.780666111658,20.000000000000004,8.0,7444.780666111658,0.0
8018.301053719303,20.0,7.0,8018.301053719303,0.0
7960.9282608403055,20.000000000000004,7.0,7960.9282608403055,0.0
6672.227497211268,19.999999999999996,8.6,6672.227497211268,0.0
6172.715430888945,19.999999999999993,7.0,6172.715430888945,0.0
4311.905798664727,20.0,8.0,4311.905798664727,0.0
2661.4069198887255,20.0,9.6,2661.4069198887255,0.0
2896.1015315648247,20.0,9.0,2896.1015315648247,0.0
2435.8004380175225,20.0,10.0,2435.8004380175225,0.0
2687.2646174025786,20.0,10.8,2687.2646174025786,0.0
2572.7705131623743,19.999999999999996,9.0,2572.7705131623743,0.0
4485.696469853795,20.000000000000004,9.0,4485.696469853795,0.0
6189.726796588777,20.0,9.8,6189.726796588777,0.0
7224.401893224378,20.0,9.0,7224.401893224378,0.0
7107.74722841173,19.999999999999996,9.0,7107.74722841173,0.0
7473.106915248479,20.0,8.4,7473.106915248479,0.0
7893.157589345905,20.0,8.0,7893.157589345905,0.0
8495.963737657334,20.000000000000004,7.0,8495.963737657334,0.0
8338.034614573498,20.0,7.2,8338.034614573498,0.0
8473.565956533443,19.999999999999996,7.0,8473.565956533443,0.0
8461.227500819385,19.999999999999996,7.0,8461.227500819385,0.0
7709.111726270192,20.0,8.2,7709.111726270192,0.0
8535.258235103738,19.999999999999996,7.0,8535.258235103738,0.0
8461.227500819385,19.999999999999996,7.0,8461.227500819385,0.0
7435.347362582309,20.0,8.4,7435.347362582309,0.0
7702.207055139926,20.000000000000007,8.0,7702.207055139926,0.0
7681.849629403093,20.000000000000004,8.0,7681.849629403093,0.0
6346.829365100993,20.0,10.2,6346.829365100993,0.0
7266.127567083169,20.000000000000007,8.0,7266.127567083169,0.0
6323.938802168902,19.999999999999996,8.0,6323.938802168902,0.0
4065.6723996366795,20.000000000000004,10.8,4065.6723996366795,0.0
5001.024774911095,20.000000000000004,9.0,5001.024774911095,0.0
4267.970540155678,20.0,10.0,4267.970540155678,0.0
2643.1747108716163,20.0,13.2,2643.1747108716163,0.0
3553.7307232033286,20.0,12.0,3553.7307232033286,0.0
4099.685394632892,20.000000000000004,12.0,4099.685394632892,0.0
4452.40655916633,20.0,13.6,4452.40655916633,0.0
5593.101487834492,20.0,12.0,5593.101487834492,0.0
5466.025629938883,20.000000000000007,12.0,5466.025629938883,0.0
4369.946569428642,19.999999999999996,13.8,4369.946569428642,0.0
5719.243311794841,20.000000000000004,12.0,5719.243311794841,0.0
4982.153979192537,20.000000000000007,13.0,4982.153979192537,0.0
2941.9673477847755,20.0,16.4,2941.9673477847755,0.0
4027.029755718848,20.0,15.0,4027.029755718848,0.0
3940.660565720437,19.999999999999996,15.0,3940.660565720437,0.0
3689.955307537374,20.0,15.4,3689.955307537374,0.0
5218.863768063878,20.000000000000004,13.0,5218.863768063878,0.0
5070.802299495172,19.999999999999993,13.0,5070.802299495172,0.0
4030.117603357695,20.000000000000004,14.6,4030.117603357695,0.0
5040.035125302852,20.0,13.0,5040.035125302852,0.0
5554.579776676249,19.999999999999993,12.0,5554.579776676249,0.0
4974.727424952032,20.0,12.8,4974.727424952032,0.0
4649.8878967094015,20.0,12.0,4649.8878967094015,0.0
3388.283707388995,20.0,12.0,3388.283707388995,0.0
902.3697861436118,20.0,14.8,902.3697861436118,0.0
1090.4760269553785,20.0,14.0,1090.4760269553785,0.0
984.2204608977884,20.000000000000007,14.0,984.2204608977884,0.0
92.21574422857076,19.999999999999996,16.0,92.21574422857076,0.0
0.0,20.348313189132757,16.0,0.0,0.0
1060.8221773960001,20.0,15.0,1060.8221773960001,0.0
3067.3091448806917,20.0,16.2,3067.3091448806917,0.0
4557.351776092402,20.0,14.0,4557.351776092402,0.0
4980.477375684887,19.999999999999993,13.0,4980.477375684887,0.0
4309.852285720017,19.999999999999993,14.0,4309.852285720017,0.0
4478.0554765935785,19.999999999999996,14.0,4478.0554765935785,0.0
5105.538536333122,20.000000000000007,13.0,5105.538536333122,0.0
4070.1410096085638,20.0,14.6,4070.1410096085638,0.0
5169.509945207644,20.000000000000004,13.0,5169.509945207644,0.0
5070.802299495172,19.999999999999993,13.0,5070.802299495172,0.0
3817.2760085798523,19.999999999999996,15.0,3817.2760085798523,0.0
5194.18685663576,19.999999999999993,13.0,5194.18685663576,0.0
5070.802299495173,19.999999999999993,13.0,5070.802299495173,0.0
4639.050414752267,19.999999999999993,13.6,4639.050414752267,0.0
4978.34284673256,19.999999999999993,13.0,4978.34284673256,0.0
4945.646965281681,20.0,13.0,4945.646965281681,0.0
4567.108920606898,20.0,13.6,4567.108920606898,0.0
3497.625781350227,20.0,14.0,3497.625781350227,0.0
1716.5835110659066,20.0,15.0,1716.5835110659066,0.0
0.0,20.46954313383647,17.4,0.0,0.0
0.0,20.73767924025124,17.0,0.0,0.0
0.0,20.93105955218137,17.0,0.0,0.0
0.0,21.99078776129624,19.2,0.0,0.0
0.0,22.1580258466526,18.0,0.0,0.0
0.0,21.36945381857388,18.0,0.0,0.0
1459.442844807496,19.999999999999996,18.2,1459.442844807496,0.0
3462.880124204872,19.999999999999993,16.0,3462.880124204872,0.0
3277.0634986417463,19.999999999999993,16.0,3277.0634986417463,0.0
2424.557562689342,20.0,17.4,2424.557562689342,0.0
4061.046078274911,20.0,15.0,4061.046078274911,0.0
3286.941378530429,19.999999999999996,16.0,3286.941378530429,0.0
2750.986296221053,19.999999999999996,17.0,2750.986296221053,0.0
3437.2819774033624,20.0,16.0,3437.2819774033624,0.0
4629.115989748389,20.0,14.0,4629.115989748389,0.0
3628.2630289670815,20.0,15.4,3628.2630289670815,0.0
5218.863768063878,20.000000000000004,13.0,5218.863768063878,0.0
4444.03915403751,20.0,14.0,4444.03915403751,0.0
3684.8779819440724,20.000000000000007,15.2,3684.8779819440724,0.0
4969.361597625715,20.000000000000004,13.0,4969.361597625715,0.0
4837.958070462364,20.000000000000004,13.0,4837.958070462364,0.0
4073.6240834540777,20.0,14.0,4073.6240834540777,0.0
2094.1867326330103,19.999999999999993,13.0,2094.1867326330103,0.0
0.0,20.30702267294034,16.0,0.0,0.0
0.0,22.542399485968524,19.0,0.0,0.0
0.0,22.45479593869331,17.0,0.0,0.0
0.0,22.681921726411645,18.0,0.0,0.0
0.0,22.905643981927632,19.8,0.0,0.0
0.0,22.472635487717582,18.0,0.0,0.0
0.0,21.435894075258147,18.0,0.0,0.0
1109.5905909097937,20.0,18.8,1109.5905909097937,0.0
2883.412896806976,19.999999999999993,17.0,2883.412896806976,0.0
3338.7557772120413,19.999999999999993,16.0,3338.7557772120413,0.0
2546.344124968254,20.0,17.2,2546.344124968254,0.0
4048.707622560853,20.0,15.0,4048.707622560853,0.0
4540.4676694457485,19.999999999999993,14.0,4540.4676694457485,0.0
3755.775400904265,20.000000000000007,15.2,3755.775400904265,0.0
5206.525312349815,19.999999999999993,13.0,5206.525312349815,0.0
5070.802299495173,19.999999999999993,13.0,5070.802299495173,0.0
4193.333895854451,20.0,14.4,4193.333895854451,0.0
5157.171489493579,19.999999999999993,13.0,5157.171489493579,0.0
5697.565444952831,19.999999999999993,12.0,5697.565444952831,0.0
4492.9931212834035,20.0,13.6,4492.9931212834035,0.0
5452.841262213202,20.000000000000007,12.0,5452.841262213202,0.0
5358.453102192022,20.000000000000007,12.0,5358.453102192022,0.0
4737.915483313884,20.000000000000004,12.8,4737.915483313884,0.0
2671.681261217795,20.0,15.0,2671.681261217795,0.0
1232.3215867051752,20.0,15.0,1232.3215867051752,0.0
0.0,20.665467953255785,16.6,0.0,0.0
0.0,21.409649433138362,16.0,0.0,0.0
0.0,22.005751134193215,16.0,0.0,0.0
0.0,23.00358419119807,18.2,0.0,0.0
655.5465911603858,20.000000000000007,16.0,655.5465911603858,0.0
3754.7194710673853,19.999999999999996,16.0,3754.7194710673853,0.0
2734.1918783269875,20.0,15.8,2734.1918783269875,0.0
4546.716312781083,20.0,14.0,4546.716312781083,0.0
4980.477375684887,19.999999999999993,13.0,4980.477375684887,0.0
4309.852285720017,19.999999999999993,14.0,4309.852285720017,0.0
5104.8186220512425,20.000000000000007,13.0,5104.8186220512425,0.0
5670.60940322049,20.000000000000004,12.0,5670.60940322049,0.0
4635.211876495929,19.999999999999993,13.6,4635.211876495929,0.0
5734.58081209501,19.999999999999993,12.0,5734.58081209501,0.0
5635.873166382545,19.999999999999996,12.0,5635.873166382545,0.0
4758.404762741813,19.999999999999996,13.4,4758.404762741813,0.0
5722.242356380956,19.999999999999996,12.0,5722.242356380956,0.0
5635.873166382545,19.999999999999996,12.0,5635.873166382545,0.0
4725.8680454033865,20.0,13.2,4725.8680454033865,0.0
5428.16435078508,20.0,12.0,5428.16435078508,0.0
5358.453102192026,20.000000000000007,12.0,5358.453102192026,0.0
4628.615045520345,20.0,13.0,4628.615045520345,0.0
4336.446701033236,20.000000000000004,12.0,4336.446701033236,0.0
2716.4430579929285,20.000000000000007,12.0,2716.4430579929285,0.0
279.6464003637807,20.0,14.6,279.6464003637807,0.0
1042.5743392127006,20.0,13.0,1042.5743392127006,0.0
1142.7665068690144,20.000000000000007,13.0,1142.7665068690144,0.0
958.1724002160776,19.999999999999986,14.4,958.1724002160776,0.0
1215.6513302201781,19.999999999999996,13.0,1215.6513302201781,0.0
1750.4328851564562,20.000000000000007,13.4,1750.4328851564562,0.0
4349.647939259342,19.999999999999993,13.8,4349.647939259342,0.0
5013.638016322353,20.0,13.0,5013.638016322353,0.0
5527.717908509169,20.0,12.0,5527.717908509169,0.0
4613.519693986476,20.0,13.4,4613.519693986476,0.0
5694.566400366727,20.000000000000007,12.0,5694.566400366727,0.0
5608.917124650193,20.0,12.0,5608.917124650193,0.0
5387.327651045126,20.0,12.4,5387.327651045126,0.0
6914.076368725982,20.000000000000004,10.0,6914.076368725982,0.0
6766.014900157278,20.0,10.0,6766.014900157278,0.0
5261.783351058892,19.999999999999993,12.4,5261.783351058892,0.0
6287.3132232683165,19.999999999999993,11.0,6287.3132232683165,0.0
6200.9440332699105,19.999999999999993,11.0,6200.9440332699105,0.0
5944.987849492982,20.0,11.0,5944.987849492982,0.0
6456.8159585303365,20.000000000000007,10.0,6456.8159585303365,0.0
6399.443165651331,20.0,10.0,6399.443165651331,0.0
5690.074007458034,20.0,10.8,5690.074007458034,0.0
4822.989967744011,20.000000000000007,10.0,4822.989967744011,0.0
