Q_HC,T_op,T_ext,Q_H,Q_C
13525.330008176861,20.0,0.54,13525.330008176861,0.0
12023.838460547722,20.0,0.68,12023.838460547722,0.0
11944.728539183494,20.000000000000004,0.82,11944.728539183494,0.0
11871.886249273834,20.0,0.95,11871.886249273834,0.0
11792.159405123904,20.0,1.09,11792.159405123904,0.0
11713.049483759676,20.000000000000004,1.23,11713.049483759676,0.0
10948.718086049726,20.0,1.37,10948.718086049726,0.0
10805.489580344989,20.00000000000001,1.51,10805.489580344989,0.0
10327.402983304954,20.000000000000014,1.65,10327.402983304954,0.0
8774.5158519092,20.0,1.77,8774.5158519092,0.0
8855.85760208927,20.0,2.34,8855.85760208927,0.0
8826.618759094812,19.999999999999993,2.61,8826.618759094812,0.0
8515.822627932952,20.0,2.67,8515.822627932952,0.0
8751.042373549266,19.999999999999996,2.47,8751.042373549266,0.0
9125.086837706152,20.0,2.36,9125.086837706152,0.0
8884.62800382347,20.000000000000007,1.83,8884.62800382347,0.0
10968.702059731586,20.0,1.68,10968.702059731586,0.0
10766.395455671785,20.000000000000007,1.61,10766.395455671785,0.0
10795.505847378148,20.0,1.56,10795.505847378148,0.0
11218.212574730558,20.0,1.48,11218.212574730558,0.0
11247.35334770612,20.0,1.44,11247.35334770612,0.0
11324.046922044608,20.000000000000007,1.31,11324.046922044608,0.0
11711.481091940062,20.0,1.21,11711.481091940062,0.0
11699.764146910338,20.0,1.22,11699.764146910338,0.0
11729.496854274033,20.0,1.22,11729.496854274033,0.0
11752.407637246693,20.0,1.18,11752.407637246693,0.0
11743.67231464931,20.000000000000007,1.19,11743.67231464931,0.0
11907.247655253996,20.0,0.93,11907.247655253996,0.0
12010.292660462683,20.000000000000004,0.74,12010.292660462683,0.0
12142.726650989584,19.999999999999993,0.51,12142.726650989584,0.0
11620.390037148054,19.999999999999993,0.14,11620.390037148054,0.0
11934.735810024426,19.999999999999996,-0.56,11934.735810024426,0.0
12089.61359668452,19.999999999999993,-1.38,12089.61359668452,0.0
9460.358973748142,20.000000000000004,1.21,9460.358973748142,0.0
7898.490686588411,20.0,2.66,7898.490686588411,0.0
7604.091534287402,20.000000000000007,4.32,7604.091534287402,0.0
4287.836159135709,19.999999999999996,5.16,4287.836159135709,0.0
4334.251047136154,20.000000000000004,5.9,4334.251047136154,0.0
4690.276690603185,19.999999999999993,6.34,4690.276690603185,0.0
6108.908062541154,20.0,5.82,6108.908062541154,0.0
9732.82881146161,20.0,4.47,9732.82881146161,0.0
10111.81093225697,20.0,3.03,10111.81093225697,0.0
10883.108882947967,20.0,1.56,10883.108882947967,0.0
12095.075823138746,20.0,0.04,12095.075823138746,0.0
12735.652448076857,20.0,-1.15,12735.652448076857,0.0
13295.528760428566,19.999999999999996,-2.19,13295.528760428566,0.0
13889.79333259231,20.0,-2.61,13889.79333259231,0.0
14146.645905330613,20.0,-3.06,14146.645905330613,0.0
14135.464901642817,19.999999999999996,-3.04,14135.464901642817,0.0
14046.792164004504,19.999999999999996,-2.9,14046.792164004504,0.0
14174.5140806413,19.99999999999999,-3.09,14174.5140806413,0.0
14175.327810622102,20.0,-3.11,14175.327810622102,0.0
14192.89685941442,20.0,-3.14,14192.89685941442,0.0
14184.778459602738,19.999999999999993,-3.13,14184.778459602738,0.0
13229.720170597031,20.0,-3.01,13229.720170597031,0.0
13207.517154483869,20.0,-3.08,13207.517154483869,0.0
12715.510998545718,19.999999999999996,-2.63,12715.510998545718,0.0
10623.104452693311,19.999999999999996,-0.87,10623.104452693311,0.0
8248.298100334,19.999999999999993,2.55,8248.298100334,0.0
7280.979330868353,20.000000000000007,5.58,7280.979330868353,0.0
3205.805074281308,20.0,7.25,3205.805074281308,0.0
3465.8646798054656,20.000000000000007,7.84,3465.8646798054656,0.0
4042.6716951686235,20.0,7.71,4042.6716951686235,0.0
5717.890581454475,19.999999999999993,6.93,5717.890581454475,0.0
8764.51628256591,20.000000000000004,6.22,8764.51628256591,0.0
8828.344748138103,20.0,5.42,8828.344748138103,0.0
9330.566482655113,20.0,4.48,9330.566482655113,0.0
10807.689201103069,20.0,2.45,10807.689201103069,0.0
12567.685777506076,19.999999999999996,-0.63,12567.685777506076,0.0
12761.301230688161,19.999999999999993,-1.26,12761.301230688161,0.0
13420.686109478247,19.999999999999996,-1.77,13420.686109478247,0.0
13496.49269641708,20.000000000000007,-1.94,13496.49269641708,0.0
13678.079211457109,19.999999999999996,-2.2,13678.079211457109,0.0
13804.03499963845,20.0,-2.43,13804.03499963845,0.0
13789.845775567283,20.0,-2.43,13789.845775567283,0.0
13495.267097202182,20.000000000000004,-1.96,13495.267097202182,0.0
13267.289578492577,20.0,-1.55,13267.289578492577,0.0
13048.145785977904,19.999999999999996,-1.16,13048.145785977904,0.0
12023.86689189662,19.999999999999996,-0.73,12023.86689189662,0.0
11688.941715269288,20.000000000000004,-0.23,11688.941715269288,0.0
11539.3291662511,19.999999999999996,-0.4,11539.3291662511,0.0
10638.622383521408,20.00000000000001,0.18,10638.622383521408,0.0
9784.56700270216,20.000000000000007,1.11,9784.56700270216,0.0
8243.756242086041,19.999999999999996,1.69,8243.756242086041,0.0
7495.380878526505,19.999999999999993,2.41,7495.380878526505,0.0
7561.617501617508,20.000000000000004,2.6,7561.617501617508,0.0
8819.111600256234,20.0,2.52,8819.111600256234,0.0
9943.578896792145,20.000000000000007,2.17,9943.578896792145,0.0
10842.414693951341,19.999999999999993,1.69,10842.414693951341,0.0
10918.381079135477,20.000000000000007,1.35,10918.381079135477,0.0
11000.697032863854,19.999999999999996,1.18,11000.697032863854,0.0
11554.039867596644,19.999999999999996,0.89,11554.039867596644,0.0
11771.173089832664,19.999999999999996,0.52,11771.173089832664,0.0
11894.490821496356,20.000000000000007,0.28,11894.490821496356,0.0
12362.448030834394,19.999999999999996,0.07,12362.448030834394,0.0
12381.550723889397,19.999999999999996,0.02,12381.550723889397,0.0
12626.948995449056,19.999999999999996,-0.33,12626.948995449056,0.0
12878.97273910518,20.0,-0.77,12878.97273910518,0.0
13133.871551990198,20.0,-1.22,13133.871551990198,0.0
12949.419240269148,20.0,-0.97,12949.419240269148,0.0
14118.08649755382,19.999999999999993,-2.81,14118.08649755382,0.0
14217.672174440093,20.000000000000004,-3.15,14217.672174440093,0.0
13688.414300162583,19.999999999999996,-3.8,13688.414300162583,0.0
13711.858199198294,20.0,-4.03,13711.858199198294,0.0
12636.497306564153,19.999999999999996,-2.78,12636.497306564153,0.0
9815.390708578543,20.0,-0.6,9815.390708578543,0.0
8978.043633685407,20.000000000000004,0.36,8978.043633685407,0.0
7668.359489238492,20.0,1.66,7668.359489238492,0.0
6650.197725352339,20.0,2.5,6650.197725352339,0.0
6273.477756233481,19.999999999999986,3.15,6273.477756233481,0.0
7107.441092072108,19.999999999999993,3.51,7107.441092072108,0.0
8352.67804938793,20.0,3.4,8352.67804938793,0.0
10830.109969226578,20.0,2.07,10830.109969226578,0.0
11331.889642893144,19.999999999999996,0.68,11331.889642893144,0.0
11966.547253040671,20.0,-0.55,11966.547253040671,0.0
12683.445832801026,20.0,-1.14,12683.445832801026,0.0
13204.805761505084,19.999999999999993,-2.04,13204.805761505084,0.0
13210.17599193128,20.0,-2.14,13210.17599193128,0.0
13322.523484154348,20.000000000000004,-1.7,13322.523484154348,0.0
13143.556163006126,20.0,-1.37,13143.556163006126,0.0
13061.410138966208,20.0,-1.16,13061.410138966208,0.0
13329.178664257963,20.0,-1.57,13329.178664257963,0.0
13385.364038953641,20.0,-1.7,13385.364038953641,0.0
13414.949831466964,20.0,-1.76,13414.949831466964,0.0
