,Q_HC,T_op,T_ext,Q_H,Q_C
2009-12-01 00:00:00,0.0,19.848985136456015,9.2,0.0,0.0
2009-12-01 01:00:00,0.0,19.764079410749886,9.4,0.0,0.0
2009-12-01 02:00:00,0.0,19.68145880839442,9.8,0.0,0.0
2009-12-01 03:00:00,0.0,19.598827282246695,10.0,0.0,0.0
2009-12-01 04:00:00,0.0,19.516977390066735,10.1,0.0,0.0
2009-12-01 05:00:00,2103.853474671841,20.0,9.9,2103.853474671841,0.0
2009-12-01 06:00:00,2093.4092561977595,19.999999999999996,9.6,2093.4092561977595,0.0
2009-12-01 07:00:00,2237.9552510026056,20.000000000000004,9.3,2237.9552510026056,0.0
2009-12-01 08:00:00,2291.405476415238,20.0,10.0,2291.405476415238,0.0
2009-12-01 09:00:00,2454.40837456065,20.0,10.4,2454.40837456065,0.0
2009-12-01 10:00:00,2263.3416555827826,20.0,12.0,2263.3416555827826,0.0
2009-12-01 11:00:00,2131.259094051367,20.0,13.0,2131.259094051367,0.0
2009-12-01 12:00:00,1707.375867601772,20.0,16.2,1707.375867601772,0.0
2009-12-01 13:00:00,1731.8425848996537,20.0,15.0,1731.8425848996537,0.0
2009-12-01 14:00:00,1659.911052462763,20.0,15.0,1659.911052462763,0.0
2009-12-01 15:00:00,1345.3313515190955,20.0,17.6,1345.3313515190955,0.0
2009-12-01 16:00:00,1586.7305956895007,20.0,15.0,1586.7305956895007,0.0
2009-12-01 17:00:00,1644.1200156375044,20.0,15.0,1644.1200156375044,0.0
2009-12-01 18:00:00,1518.219574308842,20.0,16.0,1518.219574308842,0.0
2009-12-01 19:00:00,1723.377233415994,20.0,14.0,1723.377233415994,0.0
2009-12-01 20:00:00,1659.15151296787,20.0,15.0,1659.15151296787,0.0
2009-12-01 21:00:00,1611.7806449859575,19.999999999999993,15.8,1611.7806449859575,0.0
2009-12-01 22:00:00,1950.468119278947,20.0,13.0,1950.468119278947,0.0
2009-12-01 23:00:00,0.0,19.378983460240306,12.0,0.0,0.0
2009-12-02 00:00:00,0.0,19.253944283480816,14.8,0.0,0.0
2009-12-02 01:00:00,0.0,19.156803987526132,13.0,0.0,0.0
2009-12-02 02:00:00,0.0,19.098178406450742,13.0,0.0,0.0
2009-12-02 03:00:00,0.0,19.049610051528926,13.2,0.0,0.0
2009-12-02 04:00:00,0.0,18.976151311364248,12.0,0.0,0.0
2009-12-02 05:00:00,3320.6084698775053,20.000000000000004,12.0,3320.6084698775053,0.0
2009-12-02 06:00:00,2827.3898718625146,20.0,12.6,2827.3898718625146,0.0
2009-12-02 07:00:00,3032.7900662429292,19.999999999999993,11.0,3032.7900662429292,0.0
2009-12-02 08:00:00,3094.320990628263,20.000000000000004,11.0,3094.320990628263,0.0
2009-12-02 09:00:00,3116.469807088362,20.0,12.2,3116.469807088362,0.0
2009-12-02 10:00:00,3285.159507387085,20.0,11.0,3285.159507387085,0.0
2009-12-02 11:00:00,3293.945746071711,20.0,11.0,3293.945746071711,0.0
2009-12-02 12:00:00,3126.9431138884133,20.0,12.6,3126.9431138884133,0.0
2009-12-02 13:00:00,3270.8927730571027,20.000000000000004,11.0,3270.8927730571027,0.0
2009-12-02 14:00:00,3258.039396368696,20.0,11.0,3258.039396368696,0.0
2009-12-02 15:00:00,3043.253609726307,20.0,13.0,3043.253609726307,0.0
2009-12-02 16:00:00,2982.4150737803957,20.0,13.0,2982.4150737803957,0.0
2009-12-02 17:00:00,2997.0401480248147,20.0,13.0,2997.0401480248147,0.0
2009-12-02 18:00:00,2941.7199574573083,20.0,13.6,2941.7199574573083,0.0
2009-12-02 19:00:00,3202.440542958198,20.0,11.0,3202.440542958198,0.0
2009-12-02 20:00:00,3250.00243901998,20.000000000000007,11.0,3250.00243901998,0.0
2009-12-02 21:00:00,3328.594688112103,20.0,10.8,3328.594688112103,0.0
2009-12-02 22:00:00,3579.8687954552956,20.0,9.0,3579.8687954552956,0.0
2009-12-02 23:00:00,0.0,18.865179403525556,9.0,0.0,0.0
